plotID,insitu_mortdmg_max,insitu_peak_year,insitu_spike,insitu_burn,insitu_insect,insitu_dead_max,insitu_dist,neon_event,neon_event_year,neon_event_type,remark_year,remark,remote_dist,remote_year,remote_sev,d_fire,d_loss,d_spec,neon_dist,neon_dist_year,neon_severity,neon_dist_type,disturbed,dist_year,severity,recency
ABBY_001,0.2452830188679245,2024.0,0.1202830188679245,0.0,0.0,0.1320754716981132,0,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2024.0,0.2452830188679245,mortality,0,,0.2452830188679245,
ABBY_002,0.7166666666666667,2019.0,0.5738095238095238,0.0,0.0,0.046875,1,0,,,,0,1,2010.0,1.0,0.0,1.0,0.0,1,2019.0,0.7166666666666667,mortality,1,2019.0,0.7166666666666667,6.0
ABBY_003,0.2727272727272727,2019.0,0.142292490118577,0.0,0.0,0.1157024793388429,0,0,,,,0,1,2005.0,1.0,0.0,1.0,0.0,0,2019.0,0.2727272727272727,mortality,0,,0.2727272727272727,
ABBY_004,0.1428571428571428,2017.0,0.1279317697228145,0.0,0.0,0.0714285714285714,0,0,,,,0,1,2008.0,1.0,0.0,1.0,0.0,0,2017.0,0.1428571428571428,mortality,0,,0.1428571428571428,
ABBY_005,0.3366336633663366,2019.0,0.2141846837744999,0.0,0.0,0.2277227722772277,0,0,,,,0,1,2009.0,1.0,0.0,1.0,0.0,0,2019.0,0.3366336633663366,mortality,0,,0.3366336633663366,
ABBY_006,0.2159090909090909,2019.0,0.0568181818181818,0.0,0.0,0.1590909090909091,0,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2019.0,0.2159090909090909,mortality,0,,0.2159090909090909,
ABBY_007,0.8095238095238095,2017.0,0.7772657450076805,0.0,0.0,0.4285714285714285,1,1,2017.0,harvest,,0,1,2017.0,1.564579105128627,0.0,1.0,1.0,1,2017.0,0.8095238095238095,harvest,1,2017.0,0.8095238095238095,8.0
ABBY_008,0.0866141732283464,2017.0,0.015185601799775,0.0,0.0,0.0787401574803149,0,0,,,,0,1,2011.0,0.5,0.0,1.0,0.0,0,2017.0,0.0866141732283464,mortality,0,,0.0866141732283464,
ABBY_009,0.0486111111111111,2024.0,0.0486111111111111,0.0,0.0,0.0208333333333333,0,0,,,,0,1,2008.0,1.0,0.0,1.0,0.0,0,2024.0,0.0486111111111111,mortality,0,,0.0486111111111111,
ABBY_010,0.25,2024.0,0.0499999999999999,0.0,0.0,0.2,0,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2024.0,0.25,mortality,0,,0.25,
ABBY_011,0.6285714285714286,2017.0,0.5968253968253968,0.0,0.0,0.1358695652173913,1,0,,,,0,1,2013.0,1.0,0.0,1.0,0.0,1,2017.0,0.6285714285714286,mortality,1,2017.0,0.6285714285714286,8.0
ABBY_012,0.2666666666666666,2017.0,0.2529680365296803,0.0,0.0,0.1,1,0,,,,0,1,2011.0,1.0,0.0,1.0,0.0,0,2017.0,0.2666666666666666,mortality,0,,0.2666666666666666,
ABBY_013,0.2758620689655172,2019.0,0.257680250783699,0.0,0.0,0.1235955056179775,1,0,,,,0,1,2011.0,1.0,0.0,1.0,0.0,0,2019.0,0.2758620689655172,mortality,0,,0.2758620689655172,
ABBY_014,0.208955223880597,2024.0,0.0271370420624151,0.0,0.0298507462686567,0.1636363636363636,0,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2024.0,0.208955223880597,insect,0,,0.208955223880597,
