plotID,sev_spec,spec_year,hansen_loss,hansen_lossyear,hansen_loss_frac,fire,fire_year,sev_loss,d_spec,d_loss,d_fire,disturbed,dist_year,recency,severity
ABBY_001,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
ABBY_002,0.0,,1,2010,1.0,0,0,1.0,0,1,0,1,2010.0,15.0,1.0
ABBY_003,0.0,,1,2005,1.0,0,0,1.0,0,1,0,1,2005.0,20.0,1.0
ABBY_004,0.0,,1,2008,1.0,0,0,1.0,0,1,0,1,2008.0,17.0,1.0
ABBY_005,0.0,,1,2009,1.0,0,0,1.0,0,1,0,1,2009.0,16.0,1.0
ABBY_006,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
ABBY_007,0.5645791051286271,2017.0,1,2017,1.0,0,0,1.0,1,1,0,1,2017.0,8.0,1.564579105128627
ABBY_008,0.0,,1,2011,0.5,0,0,0.5,0,1,0,1,2011.0,14.0,0.5
ABBY_009,0.0,,1,2008,1.0,0,0,1.0,0,1,0,1,2008.0,17.0,1.0
ABBY_010,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
ABBY_011,0.0,,1,2013,1.0,0,0,1.0,0,1,0,1,2013.0,12.0,1.0
ABBY_012,0.0,,1,2011,1.0,0,0,1.0,0,1,0,1,2011.0,14.0,1.0
ABBY_013,0.0,,1,2011,1.0,0,0,1.0,0,1,0,1,2011.0,14.0,1.0
ABBY_014,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
ABBY_015,0.0,,1,2010,1.0,0,0,1.0,0,1,0,1,2010.0,15.0,1.0
ABBY_016,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
ABBY_017,0.0,,1,2002,1.0,0,0,1.0,0,1,0,1,2002.0,23.0,1.0
ABBY_018,0.0,,1,2012,1.0,0,0,1.0,0,1,0,1,2012.0,13.0,1.0
ABBY_019,0.0,,1,2006,1.0,0,0,1.0,0,1,0,1,2006.0,19.0,1.0
ABBY_023,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
ABBY_025,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
ABBY_061,0.0,,1,2006,1.0,0,0,1.0,0,1,0,1,2006.0,19.0,1.0
ABBY_062,0.0,,1,2006,1.0,0,0,1.0,0,1,0,1,2006.0,19.0,1.0
