plotID,hansen_loss,hansen_lossyear,hansen_loss_frac,treecover2000
OSBS_002,0,0,0.0,32.2
OSBS_006,0,0,0.0,7.5
OSBS_048,0,0,0.0,95.8
OSBS_001,0,0,0.0,98.8
OSBS_018,0,0,0.0,91.5
OSBS_011,0,0,0.0,95.5
OSBS_014,0,0,0.0,75.8
OSBS_004,0,0,0.0,46.8
OSBS_020,0,0,0.0,80.8
OSBS_023,1,2020,1.0,0.0
OSBS_049,0,0,0.0,5.8
OSBS_003,0,0,0.0,85.0
OSBS_012,0,0,0.0,0.0
OSBS_013,0,0,0.0,17.5
OSBS_024,0,0,0.0,3.2
OSBS_016,0,0,0.0,75.5
OSBS_008,0,0,0.0,1.0
OSBS_010,0,0,0.0,97.2
OSBS_051,1,2012,0.25,25.8
OSBS_050,0,0,0.0,52.8
OSBS_007,0,0,0.0,60.0
OSBS_005,1,2020,1.0,84.5
OSBS_017,0,0,0.0,99.0
OSBS_043,0,0,0.0,0.0
OSBS_022,0,0,0.0,5.8
OSBS_039,0,0,0.0,0.0
OSBS_036,0,0,0.0,0.8
OSBS_029,0,0,0.0,0.0
OSBS_040,0,0,0.0,17.8
OSBS_015,1,2020,0.5,48.8
OSBS_025,0,0,0.0,10.5
OSBS_030,0,0,0.0,0.0
OSBS_038,0,0,0.0,1.0
OSBS_042,0,0,0.0,41.5
OSBS_035,0,0,0.0,13.0
OSBS_037,0,0,0.0,0.0
OSBS_028,0,0,0.0,0.0
OSBS_021,1,2020,0.75,27.2
OSBS_041,0,0,0.0,1.5
OSBS_009,0,0,0.0,98.5
OSBS_031,0,0,0.0,3.5
OSBS_033,0,0,0.0,22.5
OSBS_032,0,0,0.0,0.0
OSBS_044,0,0,0.0,4.2
OSBS_027,0,0,0.0,13.5
OSBS_034,0,0,0.0,26.8
OSBS_026,0,0,0.0,17.2
OSBS_063,0,0,0.0,0.0
OSBS_067,0,0,0.0,3.2
OSBS_066,0,0,0.0,99.8
OSBS_068,0,0,0.0,20.8
OSBS_070,0,0,0.0,4.8
OSBS_073,0,0,0.0,46.0
BLAN_042,0,0,0.0,0.0
BLAN_056,0,0,0.0,5.2
BLAN_034,0,0,0.0,0.0
BLAN_043,0,0,0.0,0.0
BLAN_046,0,0,0.0,0.0
BLAN_045,0,0,0.0,0.0
BLAN_059,0,0,0.0,0.0
