plotID,fire,fire_year,fire_type,n_fires
ABBY_001,0,0,,0
ABBY_002,0,0,,0
ABBY_003,0,0,,0
ABBY_004,0,0,,0
ABBY_005,0,0,,0
ABBY_006,0,0,,0
ABBY_007,0,0,,0
ABBY_008,0,0,,0
ABBY_009,0,0,,0
ABBY_010,0,0,,0
ABBY_011,0,0,,0
ABBY_012,0,0,,0
ABBY_013,0,0,,0
ABBY_014,0,0,,0
ABBY_015,0,0,,0
ABBY_016,0,0,,0
ABBY_017,0,0,,0
ABBY_018,0,0,,0
ABBY_019,0,0,,0
ABBY_023,0,0,,0
ABBY_025,0,0,,0
ABBY_061,0,0,,0
ABBY_062,0,0,,0
ABBY_063,0,0,,0
ABBY_064,0,0,,0
ABBY_065,0,0,,0
ABBY_066,0,0,,0
ABBY_067,0,0,,0
ABBY_068,0,0,,0
ABBY_069,0,0,,0
ABBY_070,0,0,,0
ABBY_073,0,0,,0
ABBY_074,0,0,,0
ABBY_075,0,0,,0
ABBY_076,0,0,,0
ABBY_077,0,0,,0
BART_001,0,0,,0
BART_002,0,0,,0
BART_003,0,0,,0
BART_004,0,0,,0
BART_005,0,0,,0
BART_006,0,0,,0
BART_007,0,0,,0
BART_010,0,0,,0
BART_011,0,0,,0
BART_012,0,0,,0
BART_013,0,0,,0
BART_015,0,0,,0
BART_016,0,0,,0
BART_018,0,0,,0
BART_019,0,0,,0
BART_023,0,0,,0
BART_024,0,0,,0
BART_025,0,0,,0
BART_026,0,0,,0
BART_027,0,0,,0
BART_028,0,0,,0
BART_032,0,0,,0
BART_033,0,0,,0
BART_034,0,0,,0
BART_036,0,0,,0
BART_037,0,0,,0
BART_039,0,0,,0
BART_040,0,0,,0
BART_041,0,0,,0
BART_042,0,0,,0
BART_044,0,0,,0
BART_046,0,0,,0
BART_047,0,0,,0
BART_050,0,0,,0
BART_051,0,0,,0
BART_070,0,0,,0
BART_071,0,0,,0
BART_072,0,0,,0
BART_073,0,0,,0
BART_074,0,0,,0
BART_075,0,0,,0
BLAN_001,0,0,,0
BLAN_003,0,0,,0
BLAN_004,0,0,,0
BLAN_005,0,0,,0
BLAN_006,0,0,,0
BLAN_007,0,0,,0
BLAN_008,0,0,,0
BLAN_009,0,0,,0
BLAN_010,0,0,,0
BLAN_011,0,0,,0
BLAN_012,0,0,,0
BLAN_013,0,0,,0
BLAN_014,0,0,,0
BLAN_015,0,0,,0
BLAN_016,0,0,,0
BLAN_017,0,0,,0
BLAN_018,0,0,,0
BLAN_019,0,0,,0
BLAN_020,0,0,,0
BLAN_031,0,0,,0
BLAN_032,0,0,,0
BLAN_033,0,0,,0
BLAN_034,0,0,,0
BLAN_035,0,0,,0
BLAN_036,0,0,,0
BLAN_037,0,0,,0
BLAN_038,0,0,,0
BLAN_039,0,0,,0
BLAN_040,0,0,,0
BLAN_041,0,0,,0
BLAN_042,0,0,,0
BLAN_043,0,0,,0
BLAN_044,0,0,,0
BLAN_045,0,0,,0
BLAN_046,0,0,,0
BLAN_047,0,0,,0
BLAN_048,0,0,,0
BLAN_049,0,0,,0
BLAN_050,0,0,,0
BLAN_051,0,0,,0
BLAN_052,0,0,,0
BLAN_053,0,0,,0
BLAN_054,0,0,,0
BLAN_055,0,0,,0
BLAN_056,0,0,,0
BLAN_057,0,0,,0
BLAN_059,0,0,,0
BLAN_060,0,0,,0
BLAN_063,0,0,,0
BLAN_064,0,0,,0
BLAN_068,0,0,,0
GRSM_001,0,0,,0
GRSM_002,0,0,,0
GRSM_003,1,2016,Wildfire,1
GRSM_004,0,0,,0
GRSM_005,0,0,,0
GRSM_006,0,0,,0
GRSM_007,1,2016,Wildfire,1
GRSM_008,1,2016,Wildfire,1
GRSM_009,1,2016,Wildfire,1
GRSM_010,0,0,,0
GRSM_011,0,0,,0
GRSM_012,1,2016,Wildfire,1
GRSM_013,0,0,,0
GRSM_014,0,0,,0
GRSM_015,0,0,,0
GRSM_016,0,0,,0
GRSM_017,0,0,,0
GRSM_018,0,0,,0
GRSM_019,0,0,,0
GRSM_025,0,0,,0
GRSM_047,1,2016,Wildfire,1
GRSM_048,1,2016,Wildfire,1
GRSM_049,1,2016,Wildfire,1
GRSM_050,1,2016,Wildfire,1
GRSM_051,1,2016,Wildfire,1
GRSM_052,1,2016,Wildfire,1
GRSM_053,1,2016,Wildfire,1
GRSM_054,1,2016,Wildfire,1
GRSM_055,1,2016,Wildfire,1
GRSM_056,1,2016,Wildfire,1
GRSM_057,1,2016,Wildfire,1
GRSM_058,1,2016,Wildfire,1
GRSM_059,1,2016,Wildfire,1
GRSM_060,1,2016,Wildfire,1
GRSM_061,1,2016,Wildfire,1
GRSM_062,1,2016,Wildfire,1
GRSM_063,1,2016,Wildfire,1
GRSM_064,1,2016,Wildfire,1
GRSM_065,1,2016,Wildfire,1
GRSM_066,1,2016,Wildfire,1
HARV_001,0,0,,0
HARV_002,0,0,,0
HARV_004,0,0,,0
HARV_005,0,0,,0
HARV_006,0,0,,0
HARV_008,0,0,,0
HARV_010,0,0,,0
HARV_011,0,0,,0
HARV_012,0,0,,0
HARV_013,0,0,,0
HARV_014,0,0,,0
HARV_015,0,0,,0
HARV_016,0,0,,0
HARV_017,0,0,,0
HARV_020,0,0,,0
HARV_021,0,0,,0
HARV_022,0,0,,0
HARV_023,0,0,,0
HARV_024,0,0,,0
HARV_025,0,0,,0
HARV_026,0,0,,0
HARV_027,0,0,,0
HARV_033,0,0,,0
HARV_034,0,0,,0
HARV_035,0,0,,0
HARV_036,0,0,,0
HARV_037,0,0,,0
HARV_038,0,0,,0
HARV_039,0,0,,0
HARV_040,0,0,,0
HARV_041,0,0,,0
HARV_042,0,0,,0
HARV_043,0,0,,0
HARV_044,0,0,,0
HARV_045,0,0,,0
HARV_046,0,0,,0
HARV_047,0,0,,0
HARV_048,0,0,,0
HARV_049,0,0,,0
HARV_050,0,0,,0
HARV_051,0,0,,0
HARV_052,0,0,,0
JERC_001,0,0,,0
JERC_002,0,0,,0
JERC_003,0,0,,0
JERC_004,0,0,,0
JERC_005,0,0,,0
JERC_006,0,0,,0
JERC_007,0,0,,0
JERC_008,0,0,,0
JERC_009,0,0,,0
JERC_010,0,0,,0
JERC_011,0,0,,0
JERC_012,0,0,,0
JERC_013,0,0,,0
JERC_014,0,0,,0
JERC_015,0,0,,0
JERC_016,0,0,,0
JERC_019,0,0,,0
JERC_021,0,0,,0
JERC_022,0,0,,0
JERC_028,0,0,,0
JERC_029,0,0,,0
JERC_030,0,0,,0
JERC_031,0,0,,0
JERC_033,0,0,,0
JERC_034,0,0,,0
JERC_035,0,0,,0
JERC_036,0,0,,0
JERC_038,0,0,,0
JERC_040,0,0,,0
JERC_041,0,0,,0
JERC_042,0,0,,0
JERC_044,0,0,,0
JERC_047,0,0,,0
JERC_048,0,0,,0
JERC_049,0,0,,0
JERC_050,0,0,,0
JERC_051,0,0,,0
JERC_052,0,0,,0
JERC_053,0,0,,0
JERC_054,0,0,,0
JERC_055,0,0,,0
JERC_056,0,0,,0
JERC_057,0,0,,0
JERC_058,0,0,,0
JERC_059,0,0,,0
JERC_060,0,0,,0
JERC_061,0,0,,0
JERC_062,0,0,,0
JERC_063,0,0,,0
JERC_064,0,0,,0
JERC_065,0,0,,0
JERC_066,0,0,,0
MLBS_001,0,0,,0
MLBS_002,0,0,,0
MLBS_003,0,0,,0
MLBS_004,0,0,,0
MLBS_005,0,0,,0
MLBS_006,0,0,,0
MLBS_007,0,0,,0
MLBS_008,0,0,,0
MLBS_009,0,0,,0
MLBS_010,0,0,,0
MLBS_011,0,0,,0
MLBS_012,0,0,,0
MLBS_013,0,0,,0
MLBS_014,0,0,,0
MLBS_015,0,0,,0
MLBS_016,0,0,,0
MLBS_017,0,0,,0
MLBS_018,0,0,,0
MLBS_019,1,2017,Prescribed Fire,1
MLBS_020,0,0,,0
MLBS_061,0,0,,0
MLBS_062,0,0,,0
MLBS_063,0,0,,0
MLBS_064,0,0,,0
MLBS_065,0,0,,0
MLBS_066,0,0,,0
MLBS_067,0,0,,0
MLBS_068,0,0,,0
MLBS_069,0,0,,0
MLBS_070,0,0,,0
MLBS_071,0,0,,0
MLBS_072,0,0,,0
MLBS_073,0,0,,0
MLBS_074,0,0,,0
MLBS_075,0,0,,0
MLBS_076,0,0,,0
ORNL_001,0,0,,0
ORNL_002,0,0,,0
ORNL_003,0,0,,0
ORNL_004,0,0,,0
ORNL_006,0,0,,0
ORNL_007,0,0,,0
ORNL_008,0,0,,0
ORNL_009,0,0,,0
ORNL_010,0,0,,0
ORNL_012,0,0,,0
ORNL_014,0,0,,0
ORNL_015,0,0,,0
ORNL_017,0,0,,0
ORNL_018,0,0,,0
ORNL_019,0,0,,0
ORNL_021,0,0,,0
ORNL_027,0,0,,0
ORNL_029,0,0,,0
ORNL_031,0,0,,0
ORNL_032,0,0,,0
ORNL_033,0,0,,0
ORNL_035,0,0,,0
ORNL_036,0,0,,0
ORNL_037,0,0,,0
ORNL_043,0,0,,0
ORNL_044,0,0,,0
ORNL_045,0,0,,0
ORNL_046,0,0,,0
ORNL_049,0,0,,0
ORNL_050,0,0,,0
ORNL_051,0,0,,0
ORNL_052,0,0,,0
ORNL_053,0,0,,0
ORNL_054,0,0,,0
ORNL_055,0,0,,0
ORNL_056,0,0,,0
ORNL_057,0,0,,0
ORNL_058,0,0,,0
ORNL_059,0,0,,0
ORNL_060,0,0,,0
ORNL_061,0,0,,0
ORNL_062,0,0,,0
ORNL_063,0,0,,0
ORNL_066,0,0,,0
ORNL_067,0,0,,0
ORNL_068,0,0,,0
OSBS_001,0,0,,0
OSBS_002,0,0,,0
OSBS_003,0,0,,0
OSBS_004,0,0,,0
OSBS_005,0,0,,0
OSBS_006,0,0,,0
OSBS_007,0,0,,0
OSBS_008,0,0,,0
OSBS_009,0,0,,0
OSBS_010,0,0,,0
OSBS_011,0,0,,0
OSBS_012,0,0,,0
OSBS_013,0,0,,0
OSBS_014,0,0,,0
OSBS_015,0,0,,0
OSBS_016,0,0,,0
OSBS_017,0,0,,0
OSBS_018,0,0,,0
OSBS_020,0,0,,0
OSBS_021,0,0,,0
OSBS_022,0,0,,0
OSBS_023,0,0,,0
OSBS_024,0,0,,0
OSBS_025,0,0,,0
OSBS_026,0,0,,0
OSBS_027,0,0,,0
OSBS_028,0,0,,0
OSBS_029,0,0,,0
OSBS_030,0,0,,0
OSBS_031,0,0,,0
OSBS_032,0,0,,0
OSBS_033,0,0,,0
OSBS_034,0,0,,0
OSBS_035,0,0,,0
OSBS_036,0,0,,0
OSBS_037,0,0,,0
OSBS_038,0,0,,0
OSBS_039,0,0,,0
OSBS_040,0,0,,0
OSBS_041,0,0,,0
OSBS_042,0,0,,0
OSBS_043,0,0,,0
OSBS_044,0,0,,0
OSBS_048,0,0,,0
OSBS_049,0,0,,0
OSBS_050,0,0,,0
OSBS_051,0,0,,0
OSBS_063,0,0,,0
OSBS_066,0,0,,0
OSBS_067,0,0,,0
OSBS_068,0,0,,0
OSBS_070,0,0,,0
OSBS_073,0,0,,0
RMNP_001,0,0,,0
RMNP_002,0,0,,0
RMNP_003,0,0,,0
RMNP_004,0,0,,0
RMNP_005,0,0,,0
RMNP_006,0,0,,0
RMNP_007,0,0,,0
RMNP_008,0,0,,0
RMNP_009,0,0,,0
RMNP_010,0,0,,0
RMNP_011,0,0,,0
RMNP_012,0,0,,0
RMNP_013,0,0,,0
RMNP_014,0,0,,0
RMNP_015,0,0,,0
RMNP_016,0,0,,0
RMNP_017,0,0,,0
RMNP_018,0,0,,0
RMNP_019,0,0,,0
RMNP_020,0,0,,0
