uid,domainID,siteID,namedLocation,locationID,startDate,endDate,ongoingEvent,estimatedOrActualDate,dateRemarks,eventID,samplingProtocolVersion,eventType,methodTypeChoice,name,scientificName,otherScientificName,fireSeverity,biomassRemoval,minQuantity,maxQuantity,quantityUnit,reporterType,remarks,recordedBy,dataQF,__site
87d55743-58ae-41d5-b378-37964abc7425,D16,ABBY,ABBY,"ABBY_001.basePlot.all,ABBY_002.basePlot.all,ABBY_003.basePlot.all,ABBY_004.basePlot.all,ABBY_005.basePlot.all,ABBY_006.basePlot.all,ABBY_007.basePlot.all,ABBY_008.basePlot.all,ABBY_009.basePlot.all,ABBY_010.basePlot.all,ABBY_011.basePlot.all,ABBY_012.basePlot.all,ABBY_013.basePlot.all,ABBY_014.basePlot.all,ABBY_015.basePlot.all,ABBY_016.basePlot.all,ABBY_017.basePlot.all,ABBY_018.basePlot.all,ABBY_019.basePlot.all,ABBY_020.basePlot.all,ABBY_021.basePlot.all,ABBY_022.basePlot.all,ABBY_023.basePlot.all,ABBY_024.basePlot.all,ABBY_025.basePlot.all,ABBY_026.basePlot.all,ABBY_027.basePlot.all,ABBY_028.basePlot.all,ABBY_029.basePlot.all,ABBY_030.basePlot.all,ABBY_061.basePlot.all,ABBY_062.basePlot.all,ABBY_063.basePlot.all,ABBY_064.basePlot.all,ABBY_065.basePlot.all,ABBY_066.basePlot.all,ABBY_067.basePlot.all,ABBY_068.basePlot.all,ABBY_069.basePlot.all,ABBY_070.basePlot.all,ABBY_073.basePlot.all,ABBY_074.basePlot.all,ABBY_075.basePlot.all,ABBY_076.basePlot.all,ABBY_001.tickPlot.tck,ABBY_002.tickPlot.tck,ABBY_003.tickPlot.tck,ABBY_005.tickPlot.tck,ABBY_006.tickPlot.tck,ABBY_023.tickPlot.tck,ABBY_002.mammalGrid.mam,ABBY_003.mammalGrid.mam,ABBY_004.mammalGrid.mam,ABBY_007.mammalGrid.mam,ABBY_010.mammalGrid.mam,ABBY_011.mammalGrid.mam,ABBY_014.mammalGrid.mam,ABBY_023.mammalGrid.mam,ABBY_031.mosquitoPoint.mos,ABBY_032.mosquitoPoint.mos,ABBY_033.mosquitoPoint.mos,ABBY_034.mosquitoPoint.mos,ABBY_035.mosquitoPoint.mos,ABBY_036.mosquitoPoint.mos,ABBY_037.mosquitoPoint.mos,ABBY_038.mosquitoPoint.mos,ABBY_039.mosquitoPoint.mos,ABBY_040.mosquitoPoint.mos,ABBY_071.phenology.phe,ABBY_072.phenology.phe,ABBY,SOILPL102035,SOILPL102064,SOILPL102091,SOILPL102123,SOILPL102150,MEGAPT102179,TOWER102005,HUT110930,AIRSHED",2016-02-01,2016-02-01,N,actual,,ABBY.20160201.populationSpike,NEON.DOC.003282vA,populationSpike,populationSpike-fungus,,,Phaeocryptopus gaeumannii,,,,,,primary,"Severity is high for juvenile PSMEM (~8-18 years), low for majority of mature and seedling boles, with some exceptional individuals. Swiss Needle Cast. Chlorosis and needle loss of 2-4th year growth, as well as ascomata observed on PSMEM throughout the site. Young stands (planted ~2000-2012) are most obviously affected, in some cases > 95% of individuals indicating and >50% retaining <2nd year growth. Rarely, mature trees observed with <2nd year growth.",Jzemaitis@battelleecology.org,,ABBY
bf214b86-de8f-4301-aa7c-c183ea35d769,D16,ABBY,ABBY,ABBY_030.basePlot.all,2016-10-01,2016-10-31,Y,,,ABBY.20161001.otherNaturalDisturbance,NEON.DOC.003282vA,otherNaturalDisturbance,other,,,,,,,,,primary,Tree blowdown covering portion of subplot 41. Originates from outside plot.,Jzemaitis@battelleecology.org,,ABBY
f1f98a37-7231-4bc6-9ce8-f7fc500bbe84,D16,ABBY,ABBY,ABBY_007.basePlot.all,2016-10-19,2016-11-18,Y,,,ABBY.20161019.plantReduction,NEON.DOC.003282vA,plantReduction,removal-clearCut,,,,,Y,,,,primary,Plot harvested for timber. NLCD class change from Evergreen Forest to Grassland/Herbaceous. Dates of onset and cessation approximate.,bvierra@battelleecology.org,,ABBY
afea72be-7b34-4fe3-91f8-37caf0ce23d9,D16,ABBY,ABBY,ABBY_030.basePlot.all,2016-10-31,2016-11-30,Y,actual,,ABBY.20161001.otherNaturalDisturbance,NEON.DOC.003282vA,otherNaturalDisturbance,other,,,,,,,,,primary,Tree blowdown covering portion of subplot 41. Originates from outside plot.,Jzemaitis@battelleecology.org,,ABBY
94328cfa-f605-4aa2-a36c-d752c8a3d72e,D16,ABBY,ABBY,ABBY_007.basePlot.all,2016-11-18,2016-12-18,Y,actual,,ABBY.20161019.plantReduction,NEON.DOC.003282vA,plantReduction,removal-clearCut,,,,,Y,,,,primary,Plot harvested for timber. NLCD class change from Evergreen Forest to Grassland/Herbaceous. Dates of onset and cessation approximate.,bvierra@battelleecology.org,,ABBY
97e6af6d-9b63-4c0f-b2ec-b5fc8e2e1f9e,D16,ABBY,ABBY,ABBY_030.basePlot.all,2016-11-30,2016-12-30,Y,actual,,ABBY.20161001.otherNaturalDisturbance,NEON.DOC.003282vA,otherNaturalDisturbance,other,,,,,,,,,primary,Tree blowdown covering portion of subplot 41. Originates from outside plot.,Jzemaitis@battelleecology.org,,ABBY
907748ed-4a4f-4e51-b4b5-7bbfe13fb271,D16,ABBY,ABBY,ABBY_007.basePlot.all,2016-12-18,2017-01-17,Y,actual,,ABBY.20161019.plantReduction,NEON.DOC.003282vA,plantReduction,removal-clearCut,,,,,Y,,,,primary,Plot harvested for timber. NLCD class change from Evergreen Forest to Grassland/Herbaceous. Dates of onset and cessation approximate.,bvierra@battelleecology.org,,ABBY
50fe8f4e-a927-4e0d-9335-76779c99aabe,D16,ABBY,ABBY,ABBY_030.basePlot.all,2016-12-30,2017-01-02,N,,,ABBY.20161001.otherNaturalDisturbance,NEON.DOC.003282vA,otherNaturalDisturbance,other,,,,,,,,,primary,Tree blowdown covering portion of subplot 41. Originates from outside plot.,Jzemaitis@battelleecology.org,,ABBY
7c7417d1-a749-43c7-99f5-0139d48b922a,D16,ABBY,ABBY,ABBY_007.basePlot.all,2017-01-17,2017-02-16,Y,actual,,ABBY.20161019.plantReduction,NEON.DOC.003282vA,plantReduction,removal-clearCut,,,,,Y,,,,primary,Plot harvested for timber. NLCD class change from Evergreen Forest to Grassland/Herbaceous. Dates of onset and cessation approximate.,bvierra@battelleecology.org,,ABBY
4ec0559b-9fbe-4339-baf1-77ad28e84b64,D16,ABBY,ABBY,ABBY_007.basePlot.all,2017-02-16,2017-02-21,N,,,ABBY.20161019.plantReduction,NEON.DOC.003282vA,plantReduction,removal-clearCut,,,,,Y,,,,primary,Plot harvested for timber. NLCD class change from Evergreen Forest to Grassland/Herbaceous. Dates of onset and cessation approximate.,bvierra@battelleecology.org,,ABBY
