plotID,year,remarks
GRSM_007,2021,2016 Fire created impassable and hazardous conditions (PRB0040873)
JERC_065,2016,multiple apparent individuals killed by fire
JERC_051,2019,Post hurricane logging equipment damage to northern half of plot 201901. Plot corner maintenance in 2018.
JERC_048,2021,"Scheduled for allGrowthForms survey but plots were not assessed for ferns, palms, cacti or yucca in this event | JERC_050 was burned 2/4/2021 prior to sampling. JERC_047 was burned on 2/4/2021 post sampling. JERC_048 JERC_049 JERC_051 were not yet burned at the time of sampling."
JERC_051,2021,"Scheduled for allGrowthForms survey but plots were not assessed for ferns, palms, cacti or yucca in this event | Plot measured before burn"
JERC_050,2021,"Scheduled for allGrowthForms survey but plots were not assessed for ferns, palms, cacti or yucca in this event | Plot burned three weeks prior to sampling on 2021-02-05"
JERC_002,2021,ferns and palms not measured | Hurricane Michael heavily impacted site on 20181011.
JERC_001,2021,ferns and palms not measured | Plot recently had strips bushhogged through it for quail hunting. Hurricane Michael heavily impacted site on 20181011.
JERC_003,2021,ferns and palms not measured | Hurricane Michael heavily impacted site on 20181011. Plot also was flooded March 2020.
JERC_051,2022,Plot was burned March 2022.
JERC_048,2023,Plot impacted by controlled burn March 2023.
JERC_047,2024,Controlled burn this year 20240429. No qualifying individuals in 21_25_4
JERC_050,2024,Controlled burn this year in April.
JERC_015,2025,Plot burned earlier this year.
OSBS_038,2014,Other vegetation structure measurements; corner stakes burned but still visible; center missing but 2 flags placed there
OSBS_037,2016,recently burned - many fire sprouts
OSBS_028,2019,Prescribed burn on 20180220 impacted this plot.
OSBS_028,2021,"Scheduled for allGrowthForms survey but plots were not assessed for ferns, palms, cacti or yucca in this event | Controlled burn occurred in growing season prior to sampling on 20200312."
OSBS_002,2021,ferns and palms not measured | Hurricane Irma impacted site 20170911. Controlled burn 20190405.
OSBS_004,2021,ferns and palms not measured | Wildfire occurred 20190702. Controlled burn 20180211. Hurricane Irma impacted site 20170911.
OSBS_063,2021,ferns and palms not measured | Hurricane Irma impacted site 20170911.
OSBS_006,2021,ferns and palms not measured | Controlled burn 20180713. Hurricane Irma impacted site 20170911.
OSBS_007,2021,ferns and palms not measured | Controlled burns on 20170809 and 20180211. Hurricane Irma impacted site 20170911.
OSBS_001,2021,ferns and palms not measured | Hurricane Irma impacted site 20170911.
OSBS_005,2021,ferns and palms not measured | Hurricane Irma impacted site 20170911. Plot was flooded for several years after hurricane Irma.
OSBS_003,2021,ferns and palms not measured | Hurricane Irma impacted site 20170911.
OSBS_067,2021,ferns and palms not measured | Controlled burn occurred prior to sampling on 20200730.
OSBS_008,2021,ferns and palms not measured | Hurricane Irma impacted site 20170911. Plot was controlled burned 20200722.
OSBS_031,2021,"Scheduled for allGrowthForms survey but plots were not assessed for ferns, palms, cacti or yucca in this event | Controlled burn occurred at plot 20210615."
OSBS_026,2022,Plot burned 20220721
OSBS_027,2022,Plot burned 20220721
OSBS_028,2024,controlled burn occurred prior to sampling on 20240716.
SOAP_043,2022,plot hazardous due to extreme wildfire activity
SOAP_047,2022,plot hazardous due to extreme wildfire activity
SOAP_056,2022,plot hazardous due to extreme wildfire activity
SOAP_059,2022,plot hazardous due to extreme wildfire activity
SOAP_044,2022,plot hazardous due to extreme wildfire activity
SOAP_052,2022,plot hazardous due to extreme wildfire activity
SOAP_056,2025,All qualifying trees presumed dead from wildfire no live trees on plot and no Dendrometer bands found
