plotID,siteID,lon,lat,stand_age_30m,forest_type_30m
ABBY_063,ABBY,-122.330039,45.760513,7.0,planted
ABBY_068,ABBY,-122.328493,45.76051,17.0,planted
ABBY_065,ABBY,-122.333084,45.762196,11.0,planted
ABBY_067,ABBY,-122.331558,45.760563,4.0,planted
ABBY_066,ABBY,-122.329984,45.763502,15.0,planted
ABBY_061,ABBY,-122.331158,45.762451,9.0,planted
ABBY_070,ABBY,-122.330793,45.761334,11.0,planted
ABBY_062,ABBY,-122.328069,45.763476,16.0,planted
ABBY_064,ABBY,-122.328467,45.762429,16.0,planted
ABBY_069,ABBY,-122.327321,45.761584,14.0,planted
ABBY_075,ABBY,-122.323463,45.762125,11.0,planted
ABBY_074,ABBY,-122.325028,45.761302,6.0,planted
ABBY_073,ABBY,-122.324601,45.762944,17.0,natural
ABBY_076,ABBY,-122.330004,45.763791,10.0,planted
ABBY_004,ABBY,-122.298736,45.76858,5.0,planted
ABBY_009,ABBY,-122.299532,45.76561,3.0,planted
ABBY_011,ABBY,-122.358994,45.743361,4.0,planted
ABBY_013,ABBY,-122.372807,45.745332,4.0,planted
ABBY_023,ABBY,-122.381659,45.744589,1.0,planted
ABBY_010,ABBY,-122.375934,45.776549,40.0,natural
ABBY_018,ABBY,-122.38678,45.764526,7.0,planted
ABBY_003,ABBY,-122.371092,45.762016,6.0,planted
ABBY_012,ABBY,-122.384239,45.754263,11.0,planted
ABBY_005,ABBY,-122.389412,45.770977,2.0,planted
ABBY_016,ABBY,-122.332415,45.746995,19.0,natural
ABBY_008,ABBY,-122.355223,45.771358,14.0,natural
ABBY_017,ABBY,-122.369799,45.772764,13.0,planted
ABBY_014,ABBY,-122.317373,45.751186,40.0,natural
ABBY_001,ABBY,-122.346369,45.772619,40.0,planted
ABBY_019,ABBY,-122.325825,45.752593,11.0,planted
ABBY_006,ABBY,-122.298512,45.754053,40.0,natural
ABBY_002,ABBY,-122.309112,45.739055,9.0,planted
ABBY_007,ABBY,-122.361007,45.768936,6.0,natural
ABBY_025,ABBY,-122.324489,45.76953,40.0,natural
ABBY_015,ABBY,-122.300349,45.732279,5.0,planted
ABBY_077,ABBY,-122.341608,45.751348,9.0,planted
BART_012,BART,-71.316312,44.046097,40.0,planted
BART_001,BART,-71.306661,44.047079,40.0,natural
BART_005,BART,-71.282188,44.054614,40.0,natural
BART_044,BART,-71.284327,44.061036,40.0,natural
BART_037,BART,-71.283244,44.061598,40.0,planted
BART_073,BART,-71.288616,44.064774,21.0,natural
BART_074,BART,-71.2832,44.060251,22.0,natural
BART_075,BART,-71.286492,44.059141,40.0,natural
BART_042,BART,-71.288052,44.060194,40.0,natural
BART_072,BART,-71.286187,44.060735,40.0,natural
BART_046,BART,-71.285408,44.059946,40.0,natural
BART_036,BART,-71.285878,44.062082,40.0,natural
BART_051,BART,-71.287987,44.062723,40.0,natural
BART_041,BART,-71.28561,44.065342,40.0,natural
BART_034,BART,-71.285608,44.064284,40.0,natural
BART_039,BART,-71.288951,44.063682,40.0,natural
BART_050,BART,-71.28769,44.06151,40.0,natural
BART_040,BART,-71.29199,44.06576,40.0,natural
BART_071,BART,-71.290624,44.067944,40.0,natural
BART_070,BART,-71.28144,44.064338,40.0,natural
BART_033,BART,-71.283663,44.063198,9.0,natural
BART_047,BART,-71.290855,44.064968,40.0,natural
BART_032,BART,-71.28758,44.067467,40.0,planted
BART_015,BART,-71.27314,44.042915,40.0,natural
BART_016,BART,-71.288463,44.051234,40.0,natural
BART_028,BART,-71.306532,44.054075,40.0,natural
BART_010,BART,-71.26668,44.050073,21.0,natural
BART_013,BART,-71.277598,44.041737,39.0,natural
BART_026,BART,-71.313922,44.061261,40.0,natural
BART_006,BART,-71.310912,44.060511,40.0,natural
BART_023,BART,-71.263643,44.049319,40.0,natural
BART_002,BART,-71.272844,44.035076,39.0,natural
BART_018,BART,-71.277866,44.058473,40.0,planted
BART_003,BART,-71.263146,44.055247,39.0,natural
BART_024,BART,-71.263787,44.052775,40.0,natural
BART_011,BART,-71.296272,44.050004,40.0,natural
BART_025,BART,-71.313142,44.059386,40.0,natural
BART_007,BART,-71.298504,44.049697,40.0,natural
BART_027,BART,-71.261742,44.057941,40.0,natural
BART_004,BART,-71.28692,44.041571,40.0,natural
BART_019,BART,-71.286161,44.069366,40.0,natural
BLAN_042,BLAN,-78.071954,39.058017,,none
BLAN_056,BLAN,-78.07191,39.058569,,none
BLAN_034,BLAN,-78.071177,39.059364,,none
BLAN_043,BLAN,-78.069523,39.057695,,none
BLAN_046,BLAN,-78.072671,39.057488,,none
BLAN_045,BLAN,-78.071244,39.05828,,none
BLAN_059,BLAN,-78.073037,39.056952,,none
BLAN_039,BLAN,-78.071971,39.057487,,none
BLAN_033,BLAN,-78.069151,39.058229,,none
BLAN_051,BLAN,-78.069551,39.057157,,none
BLAN_054,BLAN,-78.07197,39.05694,,none
BLAN_031,BLAN,-78.070547,39.058809,,none
BLAN_049,BLAN,-78.069838,39.058787,,none
BLAN_060,BLAN,-78.070252,39.057168,,none
BLAN_035,BLAN,-78.073734,39.057244,22.0,planted
BLAN_038,BLAN,-78.070917,39.057723,,none
BLAN_040,BLAN,-78.070217,39.057986,,none
BLAN_037,BLAN,-78.070165,39.059338,,none
BLAN_044,BLAN,-78.072571,39.059389,22.0,planted
BLAN_050,BLAN,-78.072602,39.058855,22.0,planted
BLAN_052,BLAN,-78.071895,39.059365,28.0,planted
BLAN_048,BLAN,-78.07596,39.061351,40.0,natural
BLAN_055,BLAN,-78.072521,39.061,24.0,planted
BLAN_057,BLAN,-78.07441,39.057518,22.0,planted
BLAN_032,BLAN,-78.073305,39.058572,28.0,planted
BLAN_036,BLAN,-78.073985,39.061573,34.0,planted
BLAN_047,BLAN,-78.074263,39.060777,39.0,planted
BLAN_063,BLAN,-78.075994,39.060809,40.0,natural
BLAN_005,BLAN,-77.971942,39.087456,39.0,natural
BLAN_017,BLAN,-77.970992,39.086353,40.0,natural
BLAN_011,BLAN,-77.974013,39.087243,40.0,natural
BLAN_068,BLAN,-77.964303,39.087809,,none
BLAN_016,BLAN,-77.96365,39.08643,,none
BLAN_001,BLAN,-77.958389,39.087919,39.0,natural
BLAN_008,BLAN,-77.965124,39.084853,,none
BLAN_003,BLAN,-77.963659,39.078872,,none
BLAN_018,BLAN,-77.962499,39.081529,39.0,natural
BLAN_004,BLAN,-77.962567,39.087516,,none
BLAN_014,BLAN,-77.958693,39.081458,,none
BLAN_020,BLAN,-77.980394,39.100938,,none
BLAN_006,BLAN,-77.963812,39.083999,,none
BLAN_007,BLAN,-77.969265,39.085485,39.0,natural
BLAN_010,BLAN,-77.960564,39.086352,,none
BLAN_012,BLAN,-77.961088,39.082046,39.0,natural
BLAN_013,BLAN,-77.96809,39.080851,39.0,natural
