plotID,siteID,lon,lat,stand_age_gami
ABBY_063,ABBY,-122.330039,45.760513,
ABBY_068,ABBY,-122.328493,45.76051,14.0
ABBY_065,ABBY,-122.333084,45.762196,14.0
ABBY_067,ABBY,-122.331558,45.760563,14.0
ABBY_066,ABBY,-122.329984,45.763502,14.0
ABBY_061,ABBY,-122.331158,45.762451,14.0
ABBY_070,ABBY,-122.330793,45.761334,14.0
ABBY_062,ABBY,-122.328069,45.763476,14.0
ABBY_064,ABBY,-122.328467,45.762429,14.0
ABBY_069,ABBY,-122.327321,45.761584,14.0
ABBY_075,ABBY,-122.323463,45.762125,14.0
ABBY_074,ABBY,-122.325028,45.761302,14.0
ABBY_073,ABBY,-122.324601,45.762944,14.0
ABBY_076,ABBY,-122.330004,45.763791,14.0
ABBY_004,ABBY,-122.298736,45.76858,
ABBY_009,ABBY,-122.299532,45.76561,12.0
ABBY_011,ABBY,-122.358994,45.743361,7.0
ABBY_013,ABBY,-122.372807,45.745332,
ABBY_023,ABBY,-122.381659,45.744589,206.0
ABBY_010,ABBY,-122.375934,45.776549,212.0
ABBY_018,ABBY,-122.38678,45.764526,
ABBY_003,ABBY,-122.371092,45.762016,15.0
ABBY_012,ABBY,-122.384239,45.754263,9.0
ABBY_005,ABBY,-122.389412,45.770977,11.0
ABBY_016,ABBY,-122.332415,45.746995,15.0
ABBY_008,ABBY,-122.355223,45.771358,124.0
ABBY_017,ABBY,-122.369799,45.772764,18.0
ABBY_014,ABBY,-122.317373,45.751186,113.0
ABBY_001,ABBY,-122.346369,45.772619,163.0
ABBY_019,ABBY,-122.325825,45.752593,14.0
ABBY_006,ABBY,-122.298512,45.754053,205.0
ABBY_002,ABBY,-122.309112,45.739055,
ABBY_007,ABBY,-122.361007,45.768936,
ABBY_025,ABBY,-122.324489,45.76953,124.0
ABBY_015,ABBY,-122.300349,45.732279,
ABBY_077,ABBY,-122.341608,45.751348,10.0
BART_012,BART,-71.316312,44.046097,109.0
BART_001,BART,-71.306661,44.047079,113.0
BART_005,BART,-71.282188,44.054614,100.0
BART_044,BART,-71.284327,44.061036,110.0
BART_037,BART,-71.283244,44.061598,98.0
BART_073,BART,-71.288616,44.064774,110.0
BART_074,BART,-71.2832,44.060251,110.0
BART_075,BART,-71.286492,44.059141,98.0
BART_042,BART,-71.288052,44.060194,107.0
BART_072,BART,-71.286187,44.060735,98.0
BART_046,BART,-71.285408,44.059946,98.0
BART_036,BART,-71.285878,44.062082,108.0
BART_051,BART,-71.287987,44.062723,111.0
BART_041,BART,-71.28561,44.065342,98.0
BART_034,BART,-71.285608,44.064284,97.0
BART_039,BART,-71.288951,44.063682,109.0
