siteID,plotID,year,grain_m,n_cells,source,NDVI_mean,NDVI_sd,EVI_mean,EVI_sd,ARVI_mean,ARVI_sd,SAVI_mean,SAVI_sd
ABBY,ABBY_063,2022,10,16,NEON_DP3.30026.002_bidirectional,0.9162805080413818,0.019025206565856934,0.6647005081176758,0.10971809923648834,0.9017094969749451,0.03137023746967316,0.600947380065918,0.08507885783910751
ABBY,ABBY_068,2022,10,16,NEON_DP3.30026.002_bidirectional,0.9130144715309143,0.02563277818262577,0.5824751853942871,0.12385222315788269,0.9054054021835327,0.03659138083457947,0.5388836860656738,0.09581275284290314
ABBY,ABBY_065,2022,10,16,NEON_DP3.30026.002_bidirectional,0.9184684157371521,0.03472082316875458,0.5274946689605713,0.1556747555732727,0.9201449751853943,0.06020888313651085,0.4925163984298706,0.12531022727489471
ABBY,ABBY_067,2022,10,12,NEON_DP3.30026.002_bidirectional,0.936643123626709,0.02560247853398323,0.5258901715278625,0.16922122240066528,0.9515560269355774,0.05140645429491997,0.4892125129699707,0.13787318766117096
ABBY,ABBY_066,2022,10,12,NEON_DP3.30026.002_bidirectional,0.8804729580879211,0.02566302753984928,0.5873205065727234,0.05063198506832123,0.8549590706825256,0.03652772307395935,0.5453733205795288,0.03830645605921745
ABBY,ABBY_061,2022,10,12,NEON_DP3.30026.002_bidirectional,0.9281373023986816,0.004347547888755798,0.6547612547874451,0.03063480742275715,0.9266654849052429,0.007292301394045353,0.5934141278266907,0.02264660969376564
ABBY,ABBY_070,2022,10,16,NEON_DP3.30026.002_bidirectional,0.9295861124992371,0.006240053568035364,0.6187772154808044,0.05680102854967117,0.932348906993866,0.011187978088855743,0.5667300224304199,0.042346350848674774
ABBY,ABBY_062,2022,10,12,NEON_DP3.30026.002_bidirectional,0.9380356669425964,0.009833557531237602,0.5963696837425232,0.11661060154438019,0.9408714771270752,0.01954095996916294,0.5487982630729675,0.09206002950668335
ABBY,ABBY_064,2022,10,16,NEON_DP3.30026.002_bidirectional,0.9291821122169495,0.016185833141207695,0.6469284296035767,0.08671572804450989,0.9237197637557983,0.025872716680169106,0.5870314836502075,0.06801720708608627
ABBY,ABBY_069,2022,10,16,NEON_DP3.30026.002_bidirectional,0.9259728789329529,0.007102444302290678,0.6283113360404968,0.056347645819187164,0.9182064533233643,0.013699080795049667,0.5765466690063477,0.04412351921200752
ABBY,ABBY_075,2022,10,16,NEON_DP3.30026.002_bidirectional,0.9181763529777527,0.010870862752199173,0.5804964900016785,0.07668537646532059,0.905837893486023,0.01747482642531395,0.5428406596183777,0.06117774918675423
ABBY,ABBY_074,2022,10,16,NEON_DP3.30026.002_bidirectional,0.9258649349212646,0.012821149080991745,0.6379885673522949,0.05136529728770256,0.9178031086921692,0.018409473821520805,0.5851638317108154,0.03867810592055321
ABBY,ABBY_073,2022,10,16,NEON_DP3.30026.002_bidirectional,0.9324559569358826,0.021349137648940086,0.6080329418182373,0.13583917915821075,0.9293131828308105,0.03386794775724411,0.5585686564445496,0.10565663129091263
ABBY,ABBY_076,2022,10,16,NEON_DP3.30026.002_bidirectional,0.9207255840301514,0.007100341375917196,0.6723452210426331,0.04544898122549057,0.9084367752075195,0.011800693348050117,0.6101651191711426,0.034347373992204666
ABBY,ABBY_004,2022,10,16,NEON_DP3.30026.002_bidirectional,0.9089215993881226,0.019249215722084045,0.7318309545516968,0.06652211397886276,0.8962318301200867,0.02817266434431076,0.6485454440116882,0.050160713493824005
ABBY,ABBY_009,2022,10,16,NEON_DP3.30026.002_bidirectional,0.9155555963516235,0.022176923230290413,0.7515048384666443,0.12470415234565735,0.9115365147590637,0.030030502006411552,0.6573097705841064,0.09249266982078552
ABBY,ABBY_011,2022,10,16,NEON_DP3.30026.002_bidirectional,0.8931300044059753,0.03826234117150307,0.7347922921180725,0.166229709982872,0.8751171231269836,0.06642629206180573,0.647443950176239,0.1291247010231018
ABBY,ABBY_013,2022,10,16,NEON_DP3.30026.002_bidirectional,0.8897656202316284,0.030587395653128624,0.715333104133606,0.04233821853995323,0.8623392581939697,0.03999241068959236,0.6420666575431824,0.032642316073179245
ABBY,ABBY_023,2022,10,16,NEON_DP3.30026.002_bidirectional,0.9109690189361572,0.01020869892090559,0.651611328125,0.10899114608764648,0.9076619744300842,0.022561348974704742,0.5866358876228333,0.0864621177315712
ABBY,ABBY_010,2022,10,16,NEON_DP3.30026.002_bidirectional,0.8876091837882996,0.011976185254752636,0.4964653551578522,0.05970238521695137,0.8879069685935974,0.021681729704141617,0.46453315019607544,0.048625096678733826
ABBY,ABBY_018,2022,10,16,NEON_DP3.30026.002_bidirectional,0.8457018733024597,0.0837225690484047,0.6524274945259094,0.09730762988328934,0.8140313029289246,0.09968037158250809,0.5879471898078918,0.08142980188131332
ABBY,ABBY_003,2022,10,16,NEON_DP3.30026.002_bidirectional,0.9096795320510864,0.009884201921522617,0.6598212718963623,0.05319402366876602,0.900335431098938,0.014663821086287498,0.5964663028717041,0.040057435631752014
ABBY,ABBY_012,2022,10,16,NEON_DP3.30026.002_bidirectional,0.8858155012130737,0.06618484109640121,0.7355080246925354,0.08956664055585861,0.859074592590332,0.07717238366603851,0.6546535491943359,0.07178165018558502
ABBY,ABBY_005,2022,10,16,NEON_DP3.30026.002_bidirectional,0.9074483513832092,0.009226310066878796,0.7776495218276978,0.03845459967851639,0.8851792216300964,0.013547106646001339,0.686622679233551,0.02701771818101406
ABBY,ABBY_016,2022,10,16,NEON_DP3.30026.002_bidirectional,0.9035822749137878,0.013715575449168682,0.5028156638145447,0.06670457869768143,0.9052636623382568,0.024181364104151726,0.47137659788131714,0.05438986420631409
ABBY,ABBY_008,2022,10,16,NEON_DP3.30026.002_bidirectional,0.897129237651825,0.03179791942238808,0.4923877716064453,0.16138985753059387,0.9071633219718933,0.053828269243240356,0.4559963047504425,0.12136825174093246
ABBY,ABBY_017,2022,10,4,NEON_DP3.30026.002_bidirectional,0.9118548035621643,0.0036051359493285418,0.6368420124053955,0.05395114794373512,0.9114870429039001,0.005383981857448816,0.5778325796127319,0.04088788107037544
ABBY,ABBY_014,2022,10,16,NEON_DP3.30026.002_bidirectional,0.9128457903862,0.014743390493094921,0.5062723159790039,0.08248107880353928,0.9288002848625183,0.02684204652905464,0.4715632200241089,0.06369884312152863
ABBY,ABBY_001,2022,10,8,NEON_DP3.30026.002_bidirectional,0.8944421410560608,0.013218064792454243,0.39950618147850037,0.06344889849424362,0.9049034118652344,0.01975264586508274,0.3848389685153961,0.052618324756622314
ABBY,ABBY_019,2022,10,16,NEON_DP3.30026.002_bidirectional,0.9257494807243347,0.022613730281591415,0.701958954334259,0.09136916697025299,0.9253129959106445,0.033134862780570984,0.6203113198280334,0.06696981191635132
