plotID,date,year,doy,ndvi,nbr,npix
ABBY_063,2025-11-30,2025,334,0.4009,0.35,16
ABBY_068,2025-11-30,2025,334,0.4302,0.3849,16
ABBY_065,2025-11-30,2025,334,0.5063,0.4468,16
ABBY_067,2025-11-30,2025,334,0.4415,0.3811,16
ABBY_066,2025-11-30,2025,334,0.5411,0.4788,16
ABBY_061,2025-11-30,2025,334,0.4893,0.4386,16
ABBY_070,2025-11-30,2025,334,0.4806,0.4253,16
ABBY_062,2025-11-30,2025,334,0.4977,0.4442,16
ABBY_064,2025-11-30,2025,334,0.535,0.4777,16
ABBY_069,2025-11-30,2025,334,0.5184,0.4646,16
ABBY_075,2025-11-30,2025,334,0.5577,0.494,16
ABBY_074,2025-11-30,2025,334,0.5231,0.4704,16
ABBY_073,2025-11-30,2025,334,0.4662,0.3991,16
ABBY_076,2025-11-30,2025,334,0.4643,0.4106,16
ABBY_004,2025-11-30,2025,334,0.5206,0.4678,16
ABBY_009,2025-11-30,2025,334,0.5551,0.4973,16
ABBY_011,2025-11-30,2025,334,0.4709,0.4143,16
ABBY_013,2025-11-30,2025,334,0.5252,0.4745,16
ABBY_023,2025-11-30,2025,334,0.4669,0.4162,16
ABBY_010,2025-11-30,2025,334,0.4759,0.4245,16
ABBY_018,2025-11-30,2025,334,0.4936,0.435,16
ABBY_003,2025-11-30,2025,334,0.561,0.5059,16
ABBY_012,2025-11-30,2025,334,0.224,0.1857,16
ABBY_005,2025-11-30,2025,334,0.4466,0.3853,16
ABBY_016,2025-11-30,2025,334,0.5391,0.4715,16
ABBY_008,2025-11-30,2025,334,0.6218,0.5633,4
ABBY_017,2025-11-30,2025,334,0.4517,0.4067,16
ABBY_014,2025-11-30,2025,334,0.6299,0.4914,4
ABBY_001,2025-11-30,2025,334,0.3455,0.2958,16
ABBY_019,2025-11-30,2025,334,0.4636,0.4133,16
ABBY_006,2025-11-30,2025,334,0.4968,0.4111,4
ABBY_002,2025-11-30,2025,334,0.5446,0.4921,16
ABBY_007,2025-11-30,2025,334,0.1392,0.0996,16
ABBY_077,2025-11-30,2025,334,0.2925,0.2404,16
ABBY_066,2025-11-02,2025,306,0.4586,0.4359,2
ABBY_064,2025-11-02,2025,306,0.3806,0.3599,2
ABBY_004,2025-11-02,2025,306,0.5498,0.5119,16
ABBY_003,2025-11-02,2025,306,0.2173,0.3489,4
ABBY_012,2025-11-02,2025,306,0.3913,0.3595,16
ABBY_014,2025-11-02,2025,306,0.3789,0.3943,16
ABBY_019,2025-11-02,2025,306,0.3611,0.3358,16
ABBY_002,2025-11-02,2025,306,0.498,0.4691,16
ABBY_015,2025-11-02,2025,306,0.5636,0.5347,16
ABBY_063,2025-11-02,2025,306,0.4432,0.425,16
ABBY_068,2025-11-02,2025,306,0.1805,0.3509,12
ABBY_065,2025-11-02,2025,306,0.5432,0.4991,16
ABBY_067,2025-11-02,2025,306,0.4063,0.3824,16
ABBY_061,2025-11-02,2025,306,0.5492,0.5074,16
ABBY_070,2025-11-02,2025,306,0.5339,0.4951,16
ABBY_069,2025-11-02,2025,306,0.3189,0.3443,8
ABBY_075,2025-11-02,2025,306,0.5201,0.4901,6
