plotID,date,year,doy,ndvi,nbr,npix
BART_012,2025-12-22,2025,356,0.1097,0.2433,16
BART_001,2025-12-22,2025,356,0.4854,0.3917,16
BART_005,2025-12-22,2025,356,0.4395,0.3543,16
BART_044,2025-12-22,2025,356,0.3308,0.273,16
BART_037,2025-12-22,2025,356,0.1796,0.2031,16
BART_073,2025-12-22,2025,356,0.3468,0.2862,16
BART_074,2025-12-22,2025,356,0.3175,0.2464,16
BART_075,2025-12-22,2025,356,0.3812,0.2764,16
BART_042,2025-12-22,2025,356,0.3015,0.2503,16
BART_072,2025-12-22,2025,356,0.3405,0.2957,16
BART_046,2025-12-22,2025,356,0.1976,0.2053,16
BART_036,2025-12-22,2025,356,0.1969,0.2097,16
BART_051,2025-12-22,2025,356,0.4213,0.3233,16
BART_041,2025-12-22,2025,356,0.2615,0.2333,16
BART_034,2025-12-22,2025,356,0.38,0.2855,16
BART_039,2025-12-22,2025,356,0.3674,0.2783,16
BART_050,2025-12-22,2025,356,0.3883,0.2692,16
BART_040,2025-12-22,2025,356,0.1749,0.2021,16
BART_071,2025-12-22,2025,356,0.3202,0.2837,16
BART_070,2025-12-22,2025,356,0.355,0.2364,16
BART_033,2025-12-22,2025,356,0.1952,0.2179,16
BART_047,2025-12-22,2025,356,0.2129,0.2395,16
BART_032,2025-12-22,2025,356,0.1892,0.235,16
BART_015,2025-12-22,2025,356,0.3839,0.293,16
BART_016,2025-12-22,2025,356,0.401,0.2884,16
BART_010,2025-12-22,2025,356,0.1792,0.2764,16
BART_013,2025-12-22,2025,356,0.1493,0.2506,16
BART_006,2025-12-22,2025,356,0.1752,0.1539,16
BART_023,2025-12-22,2025,356,0.4384,0.3206,16
BART_002,2025-12-22,2025,356,0.1301,0.2647,16
BART_018,2025-12-22,2025,356,0.4207,0.3304,16
BART_003,2025-12-22,2025,356,0.1488,0.2275,16
BART_011,2025-12-22,2025,356,0.3242,0.2056,16
BART_025,2025-12-22,2025,356,0.4357,0.344,16
BART_007,2025-12-22,2025,356,0.4162,0.3082,16
BART_004,2025-12-22,2025,356,0.4672,0.3404,16
BART_019,2025-12-22,2025,356,0.351,0.2454,16
BART_012,2025-12-22,2025,356,0.1112,0.2411,16
BART_001,2025-12-22,2025,356,0.4774,0.3735,16
BART_005,2025-12-22,2025,356,0.4369,0.3456,16
BART_044,2025-12-22,2025,356,0.3368,0.2749,16
BART_037,2025-12-22,2025,356,0.1846,0.2046,16
BART_073,2025-12-22,2025,356,0.2798,0.2889,16
BART_074,2025-12-22,2025,356,0.3239,0.2476,16
BART_075,2025-12-22,2025,356,0.3807,0.2652,16
BART_042,2025-12-22,2025,356,0.2912,0.2524,16
BART_072,2025-12-22,2025,356,0.332,0.272,16
BART_046,2025-12-22,2025,356,0.2203,0.2003,16
BART_036,2025-12-22,2025,356,0.2115,0.2151,16
BART_051,2025-12-22,2025,356,0.4201,0.3193,16
BART_041,2025-12-22,2025,356,0.2632,0.2346,16
BART_034,2025-12-22,2025,356,0.4089,0.2992,16
BART_039,2025-12-22,2025,356,0.3709,0.2912,16
BART_050,2025-12-22,2025,356,0.3911,0.275,16
BART_040,2025-12-22,2025,356,0.187,0.2107,16
BART_071,2025-12-22,2025,356,0.3117,0.287,16
BART_070,2025-12-22,2025,356,0.3288,0.219,16
