plotID,date,year,doy,ndvi,nbr,npix
GRSM_019,2025-12-19,2025,353,0.2824,0.1208,16
GRSM_006,2025-12-19,2025,353,0.3232,0.1849,16
GRSM_019,2025-12-19,2025,353,0.2649,0.1158,16
GRSM_006,2025-12-19,2025,353,0.3166,0.1746,16
GRSM_019,2025-12-16,2025,350,0.2817,0.0916,16
GRSM_006,2025-12-16,2025,350,0.3297,0.1623,16
GRSM_019,2025-12-16,2025,350,0.2576,0.0783,16
GRSM_006,2025-12-16,2025,350,0.3229,0.1501,16
GRSM_019,2025-12-09,2025,343,0.2968,0.1348,16
GRSM_006,2025-12-09,2025,343,0.3296,0.197,16
GRSM_019,2025-11-16,2025,320,0.2889,0.1338,16
GRSM_006,2025-11-16,2025,320,0.3306,0.1534,16
GRSM_019,2025-11-16,2025,320,0.2758,0.1111,16
GRSM_006,2025-11-16,2025,320,0.3275,0.1506,16
GRSM_019,2025-11-14,2025,318,0.2887,0.1401,16
GRSM_006,2025-11-14,2025,318,0.3288,0.1614,16
GRSM_019,2025-11-14,2025,318,0.2736,0.1154,16
GRSM_006,2025-11-14,2025,318,0.3297,0.1509,16
GRSM_019,2025-11-11,2025,315,0.3023,0.1983,16
GRSM_006,2025-11-11,2025,315,0.3529,0.222,16
GRSM_019,2025-11-11,2025,315,0.2843,0.1604,16
GRSM_006,2025-11-11,2025,315,0.3506,0.2131,16
GRSM_019,2025-11-06,2025,310,0.3383,0.2344,16
GRSM_006,2025-11-06,2025,310,0.3551,0.2057,16
GRSM_019,2025-11-06,2025,310,0.3112,0.1925,16
GRSM_006,2025-11-06,2025,310,0.3455,0.2011,16
GRSM_019,2025-11-04,2025,308,0.3343,0.2499,16
GRSM_006,2025-11-04,2025,308,0.3533,0.2376,16
GRSM_019,2025-11-04,2025,308,0.2983,0.2062,16
GRSM_006,2025-11-04,2025,308,0.3526,0.2411,16
GRSM_019,2025-11-01,2025,305,0.3509,0.285,16
GRSM_006,2025-11-01,2025,305,0.3481,0.2563,16
GRSM_019,2025-11-01,2025,305,0.3173,0.2442,16
GRSM_006,2025-11-01,2025,305,0.3518,0.2629,16
GRSM_019,2025-10-22,2025,295,0.4454,0.3518,16
GRSM_006,2025-10-22,2025,295,0.4313,0.3327,16
GRSM_019,2025-10-22,2025,295,0.4448,0.3409,16
GRSM_006,2025-10-22,2025,295,0.4443,0.347,16
GRSM_019,2025-10-20,2025,293,0.4746,0.3786,16
GRSM_006,2025-10-20,2025,293,0.4458,0.3646,16
GRSM_019,2025-10-20,2025,293,0.4394,0.3486,16
GRSM_006,2025-10-20,2025,293,0.4511,0.3713,16
GRSM_019,2025-10-17,2025,290,0.5035,0.3944,16
GRSM_006,2025-10-17,2025,290,0.4844,0.3755,16
GRSM_019,2025-10-17,2025,290,0.4807,0.3662,16
GRSM_006,2025-10-17,2025,290,0.4964,0.382,16
GRSM_019,2025-10-15,2025,288,0.4913,0.3813,16
GRSM_006,2025-10-15,2025,288,0.4966,0.3727,16
GRSM_019,2025-10-15,2025,288,0.4718,0.3589,16
GRSM_006,2025-10-15,2025,288,0.507,0.3854,16
GRSM_019,2025-10-12,2025,285,0.505,0.3966,16
GRSM_006,2025-10-12,2025,285,0.4955,0.3762,16
GRSM_019,2025-10-12,2025,285,0.4964,0.3914,16
GRSM_006,2025-10-12,2025,285,0.5013,0.384,16
GRSM_019,2025-10-12,2025,285,0.5181,0.3996,16
GRSM_006,2025-10-12,2025,285,0.5214,0.3927,16
GRSM_019,2025-10-12,2025,285,0.5081,0.3837,16
GRSM_006,2025-10-12,2025,285,0.5273,0.3975,16
GRSM_019,2025-10-05,2025,278,0.4926,0.3751,16
GRSM_006,2025-10-05,2025,278,0.5262,0.4094,16
GRSM_019,2025-10-02,2025,275,0.5283,0.4107,16
GRSM_006,2025-10-02,2025,275,0.5485,0.4208,16
GRSM_019,2025-10-02,2025,275,0.5216,0.403,16
GRSM_006,2025-10-02,2025,275,0.5499,0.4239,16
GRSM_019,2025-09-22,2025,265,0.3368,0.3597,8
GRSM_006,2025-09-22,2025,265,0.5095,0.4356,16
GRSM_019,2025-09-22,2025,265,0.3359,0.3557,8
GRSM_006,2025-09-22,2025,265,0.5118,0.4306,16
GRSM_019,2025-09-19,2025,262,0.5414,0.4366,16
GRSM_006,2025-09-19,2025,262,0.5496,0.4424,16
GRSM_019,2025-09-19,2025,262,0.5408,0.4349,16
GRSM_006,2025-09-19,2025,262,0.5585,0.4461,16
GRSM_019,2025-09-12,2025,255,0.5583,0.4382,16
GRSM_006,2025-09-12,2025,255,0.5779,0.4504,16
GRSM_019,2025-09-12,2025,255,0.5499,0.4349,16
GRSM_006,2025-09-12,2025,255,0.5734,0.4558,16
GRSM_019,2025-09-10,2025,253,0.5531,0.454,16
GRSM_006,2025-09-10,2025,253,0.3495,0.2881,16
GRSM_019,2025-09-10,2025,253,0.5469,0.4475,16
GRSM_006,2025-09-10,2025,253,0.3438,0.286,16
GRSM_019,2025-09-05,2025,248,0.2845,0.3861,16
GRSM_006,2025-09-05,2025,248,0.2787,0.3534,14
GRSM_019,2025-09-05,2025,248,0.2889,0.3938,16
GRSM_006,2025-09-05,2025,248,0.2804,0.3493,16
GRSM_019,2025-08-30,2025,242,0.5663,0.4505,16
GRSM_006,2025-08-30,2025,242,0.5763,0.4539,16
GRSM_019,2025-08-30,2025,242,0.568,0.4513,16
GRSM_006,2025-08-30,2025,242,0.582,0.462,16
GRSM_006,2025-08-26,2025,238,0.5767,0.4703,16
GRSM_006,2025-08-26,2025,238,0.5795,0.472,16
GRSM_019,2025-08-18,2025,230,0.579,0.4558,16
GRSM_006,2025-08-18,2025,230,0.5874,0.4559,16
GRSM_019,2025-08-18,2025,230,0.5782,0.4569,16
GRSM_006,2025-08-18,2025,230,0.5927,0.462,16
GRSM_019,2025-07-29,2025,210,0.6205,0.4903,16
GRSM_019,2025-07-29,2025,210,0.6239,0.4918,16
GRSM_019,2025-07-24,2025,205,0.5879,0.4919,16
GRSM_006,2025-07-24,2025,205,0.5845,0.4815,16
GRSM_019,2025-07-24,2025,205,0.595,0.496,16
GRSM_006,2025-07-24,2025,205,0.5889,0.485,16
GRSM_019,2025-07-24,2025,205,0.5902,0.4739,12
GRSM_006,2025-07-24,2025,205,0.6018,0.4744,16
GRSM_019,2025-07-24,2025,205,0.5956,0.4786,8
GRSM_006,2025-07-24,2025,205,0.6069,0.4788,16
GRSM_019,2025-07-14,2025,195,0.635,0.495,16
GRSM_006,2025-07-14,2025,195,0.5974,0.4801,16
GRSM_019,2025-07-14,2025,195,0.6392,0.4998,16
GRSM_006,2025-07-14,2025,195,0.6032,0.4933,16
GRSM_019,2025-07-07,2025,188,0.6012,0.5001,16
GRSM_006,2025-07-07,2025,188,0.6057,0.5005,16
GRSM_019,2025-07-07,2025,188,0.6062,0.5026,16
GRSM_006,2025-07-07,2025,188,0.6058,0.5013,16
GRSM_019,2025-07-04,2025,185,0.5884,0.5037,16
GRSM_006,2025-07-04,2025,185,0.5927,0.499,16
