plotID,date,year,doy,ndvi,nbr,npix
HARV_013,2025-12-22,2025,356,0.281,0.1036,16
HARV_022,2025-12-22,2025,356,0.3533,0.1921,16
HARV_008,2025-12-22,2025,356,0.4297,0.3304,16
HARV_004,2025-12-22,2025,356,0.3282,0.1817,16
HARV_024,2025-12-22,2025,356,0.4519,0.3552,16
HARV_010,2025-12-22,2025,356,0.3936,0.2747,16
HARV_006,2025-12-22,2025,356,0.4418,0.341,16
HARV_001,2025-12-22,2025,356,0.3204,0.1767,16
HARV_005,2025-12-22,2025,356,0.4499,0.2703,16
HARV_027,2025-12-22,2025,356,0.3536,0.247,16
HARV_043,2025-12-22,2025,356,0.2675,0.0808,16
HARV_035,2025-12-22,2025,356,0.5006,0.3759,16
HARV_037,2025-12-22,2025,356,0.3198,0.1564,16
HARV_020,2025-12-22,2025,356,0.2901,0.1908,16
HARV_023,2025-12-22,2025,356,0.3203,0.1931,16
HARV_011,2025-12-22,2025,356,0.3062,0.1441,16
HARV_025,2025-12-22,2025,356,-0.0048,-0.0479,16
HARV_002,2025-12-22,2025,356,0.2495,0.0698,16
HARV_012,2025-12-22,2025,356,0.1295,-0.0238,16
HARV_026,2025-12-22,2025,356,0.4557,0.3448,16
HARV_016,2025-12-22,2025,356,0.3679,0.2217,16
HARV_039,2025-12-22,2025,356,0.4411,0.3108,16
HARV_021,2025-12-22,2025,356,0.3523,0.2373,16
HARV_045,2025-12-22,2025,356,0.2581,0.1062,16
HARV_041,2025-12-22,2025,356,0.2144,0.0808,16
HARV_038,2025-12-22,2025,356,0.4277,0.2914,16
HARV_050,2025-12-22,2025,356,0.3007,0.1637,16
HARV_048,2025-12-22,2025,356,0.4001,0.264,16
HARV_036,2025-12-22,2025,356,0.2221,0.0299,16
HARV_052,2025-12-22,2025,356,0.2816,0.0944,16
HARV_049,2025-12-22,2025,356,0.4159,0.2699,16
HARV_047,2025-12-22,2025,356,0.2059,0.0051,16
HARV_044,2025-12-22,2025,356,0.2103,0.0136,16
HARV_040,2025-12-22,2025,356,0.2246,0.0308,16
HARV_046,2025-12-22,2025,356,0.2441,0.0635,16
HARV_033,2025-12-22,2025,356,0.2196,0.0209,16
HARV_051,2025-12-22,2025,356,0.1458,0.0647,16
HARV_034,2025-12-22,2025,356,0.3617,0.2647,16
HARV_042,2025-12-22,2025,356,0.2661,0.0676,16
HARV_015,2025-12-22,2025,356,0.2604,0.052,16
HARV_017,2025-12-22,2025,356,-0.0161,-0.0184,16
HARV_013,2025-12-22,2025,356,0.5015,0.3995,16
HARV_022,2025-12-22,2025,356,0.383,0.2789,16
HARV_008,2025-12-22,2025,356,0.2504,0.0982,16
HARV_004,2025-12-22,2025,356,0.3033,0.2042,16
HARV_024,2025-12-22,2025,356,0.4063,0.3698,16
HARV_010,2025-12-22,2025,356,0.3336,0.1685,16
HARV_006,2025-12-22,2025,356,0.3597,0.1844,16
HARV_001,2025-12-22,2025,356,0.3047,0.2747,16
HARV_005,2025-12-22,2025,356,0.3024,0.1868,16
HARV_027,2025-12-22,2025,356,0.4262,0.2774,16
HARV_043,2025-12-22,2025,356,0.4145,0.2732,16
HARV_035,2025-12-22,2025,356,0.444,0.3306,16
HARV_037,2025-12-22,2025,356,0.4654,0.3504,16
HARV_020,2025-12-22,2025,356,0.2257,0.0041,16
HARV_023,2025-12-22,2025,356,0.3576,0.2678,16
HARV_014,2025-12-22,2025,356,0.4056,0.2772,16
HARV_011,2025-12-22,2025,356,0.235,0.0463,16
HARV_025,2025-12-22,2025,356,0.3234,0.1485,16
HARV_002,2025-12-22,2025,356,0.3835,0.2446,16
HARV_012,2025-12-22,2025,356,0.3183,0.1914,16
HARV_026,2025-12-22,2025,356,0.475,0.37,16
HARV_016,2025-12-22,2025,356,0.304,0.1518,16
HARV_039,2025-12-22,2025,356,0.1682,0.2375,16
