plotID,date,year,doy,ndvi,nbr,npix
JERC_002,2025-12-31,2025,365,0.4062,0.3205,16
JERC_015,2025-12-31,2025,365,0.3899,0.2764,16
JERC_007,2025-12-31,2025,365,0.3355,0.2402,16
JERC_001,2025-12-31,2025,365,0.2809,0.1492,16
JERC_010,2025-12-31,2025,365,0.3231,0.2111,16
JERC_009,2025-12-31,2025,365,0.362,0.2417,16
JERC_029,2025-12-31,2025,365,0.2975,0.1583,16
JERC_021,2025-12-31,2025,365,0.3695,0.2605,16
JERC_011,2025-12-31,2025,365,0.3098,0.1817,16
JERC_040,2025-12-31,2025,365,0.3602,0.2349,16
JERC_035,2025-12-31,2025,365,0.2331,-0.0014,16
JERC_033,2025-12-31,2025,365,0.3128,0.1882,16
JERC_019,2025-12-31,2025,365,0.2856,0.128,16
JERC_030,2025-12-31,2025,365,0.329,0.2156,16
JERC_034,2025-12-31,2025,365,0.2874,0.1687,16
JERC_036,2025-12-31,2025,365,0.3961,0.2324,16
JERC_028,2025-12-31,2025,365,0.2497,0.0583,16
JERC_044,2025-12-31,2025,365,0.2789,0.1312,16
JERC_016,2025-12-31,2025,365,0.4087,0.2872,16
JERC_038,2025-12-31,2025,365,0.4333,0.3029,16
JERC_006,2025-12-31,2025,365,0.3118,0.1784,16
JERC_041,2025-12-31,2025,365,0.3506,0.2144,16
JERC_031,2025-12-31,2025,365,0.4088,0.3076,16
JERC_042,2025-12-31,2025,365,0.3095,0.1711,16
JERC_008,2025-12-31,2025,365,0.3001,0.1843,16
JERC_005,2025-12-31,2025,365,0.4027,0.3062,16
JERC_003,2025-12-31,2025,365,0.4147,0.2831,16
JERC_022,2025-12-31,2025,365,0.334,0.2162,16
JERC_013,2025-12-31,2025,365,0.3863,0.2694,16
JERC_066,2025-12-31,2025,365,0.3476,0.1671,16
JERC_065,2025-12-31,2025,365,0.3595,0.2672,16
JERC_054,2025-12-31,2025,365,0.4139,0.2894,16
JERC_051,2025-12-31,2025,365,0.3623,0.2514,16
JERC_062,2025-12-31,2025,365,0.4189,0.3155,16
JERC_047,2025-12-31,2025,365,0.3299,0.1957,16
JERC_057,2025-12-31,2025,365,0.4169,0.2852,16
JERC_060,2025-12-31,2025,365,0.3628,0.2521,16
JERC_064,2025-12-31,2025,365,0.4031,0.329,16
JERC_050,2025-12-31,2025,365,0.3989,0.2813,16
JERC_053,2025-12-31,2025,365,0.3861,0.2703,16
JERC_049,2025-12-31,2025,365,0.3809,0.2788,16
JERC_061,2025-12-31,2025,365,0.3522,0.2433,16
JERC_058,2025-12-31,2025,365,0.3057,0.1622,16
JERC_048,2025-12-31,2025,365,0.3547,0.2326,16
JERC_063,2025-12-31,2025,365,0.3333,0.2313,16
JERC_052,2025-12-31,2025,365,0.2899,0.1844,16
JERC_059,2025-12-31,2025,365,0.3728,0.2644,16
JERC_056,2025-12-31,2025,365,0.2791,0.1416,16
JERC_055,2025-12-31,2025,365,0.2941,0.1657,16
JERC_004,2025-12-31,2025,365,0.2069,-0.0923,16
JERC_014,2025-12-31,2025,365,0.1521,-0.0819,16
JERC_012,2025-12-31,2025,365,0.1428,-0.0412,16
JERC_002,2025-12-31,2025,365,0.3987,0.3021,16
JERC_015,2025-12-31,2025,365,0.4023,0.2801,16
JERC_007,2025-12-31,2025,365,0.3691,0.2546,16
JERC_001,2025-12-31,2025,365,0.2881,0.1439,16
JERC_010,2025-12-31,2025,365,0.3302,0.205,16
JERC_009,2025-12-31,2025,365,0.3626,0.2266,16
JERC_029,2025-12-31,2025,365,0.3104,0.1389,16
JERC_021,2025-12-31,2025,365,0.3768,0.255,16
JERC_011,2025-12-31,2025,365,0.3368,0.1779,16
JERC_040,2025-12-31,2025,365,0.3517,0.206,16
JERC_035,2025-12-31,2025,365,0.2437,0.0048,16
JERC_033,2025-12-31,2025,365,0.3249,0.1775,16
JERC_019,2025-12-31,2025,365,0.2851,0.1128,16
JERC_030,2025-12-31,2025,365,0.3414,0.1933,16
JERC_034,2025-12-31,2025,365,0.2949,0.1671,16
JERC_036,2025-12-31,2025,365,0.3691,0.22,16
JERC_028,2025-12-31,2025,365,0.255,0.0401,16
JERC_044,2025-12-31,2025,365,0.2996,0.1229,16
JERC_016,2025-12-31,2025,365,0.4244,0.2868,16
JERC_038,2025-12-31,2025,365,0.4575,0.3197,16
JERC_006,2025-12-31,2025,365,0.3532,0.2052,16
JERC_041,2025-12-31,2025,365,0.3662,0.2119,16
JERC_031,2025-12-31,2025,365,0.4258,0.3167,16
JERC_042,2025-12-31,2025,365,0.3115,0.1556,16
JERC_008,2025-12-31,2025,365,0.3084,0.1665,16
JERC_005,2025-12-31,2025,365,0.4248,0.3209,16
JERC_003,2025-12-31,2025,365,0.422,0.2727,16
JERC_022,2025-12-31,2025,365,0.3391,0.2042,16
JERC_013,2025-12-31,2025,365,0.3971,0.2694,16
JERC_066,2025-12-31,2025,365,0.3462,0.1443,16
JERC_065,2025-12-31,2025,365,0.3666,0.2735,16
JERC_054,2025-12-31,2025,365,0.4149,0.2643,16
JERC_051,2025-12-31,2025,365,0.3855,0.252,16
JERC_062,2025-12-31,2025,365,0.4266,0.3102,16
JERC_047,2025-12-31,2025,365,0.3661,0.2203,16
JERC_057,2025-12-31,2025,365,0.4395,0.2874,16
JERC_060,2025-12-31,2025,365,0.3759,0.2576,16
JERC_064,2025-12-31,2025,365,0.4177,0.3238,16
JERC_050,2025-12-31,2025,365,0.4261,0.297,16
JERC_053,2025-12-31,2025,365,0.3844,0.2794,16
JERC_049,2025-12-31,2025,365,0.3979,0.2857,16
JERC_061,2025-12-31,2025,365,0.3689,0.2499,16
JERC_058,2025-12-31,2025,365,0.3262,0.1692,16
JERC_048,2025-12-31,2025,365,0.3743,0.2483,16
JERC_063,2025-12-31,2025,365,0.3426,0.2183,16
JERC_052,2025-12-31,2025,365,0.2999,0.17,16
JERC_059,2025-12-31,2025,365,0.3811,0.2592,16
JERC_056,2025-12-31,2025,365,0.2909,0.1422,16
JERC_055,2025-12-31,2025,365,0.2901,0.1365,16
JERC_004,2025-12-31,2025,365,0.2358,-0.0664,16
JERC_014,2025-12-31,2025,365,0.164,-0.1018,16
JERC_012,2025-12-31,2025,365,0.14,-0.068,16
JERC_002,2025-12-24,2025,358,0.3764,0.2889,16
JERC_015,2025-12-24,2025,358,0.3642,0.2618,16
JERC_007,2025-12-24,2025,358,0.3096,0.2212,16
JERC_001,2025-12-24,2025,358,0.2648,0.1459,16
JERC_010,2025-12-24,2025,358,0.3008,0.1937,16
JERC_009,2025-12-24,2025,358,0.3351,0.2217,16
JERC_029,2025-12-24,2025,358,0.2906,0.1598,16
JERC_021,2025-12-24,2025,358,0.3527,0.2533,16
JERC_011,2025-12-24,2025,358,0.2742,0.1276,16
JERC_040,2025-12-24,2025,358,0.3311,0.2163,16
JERC_035,2025-12-24,2025,358,0.2254,0.0049,16
JERC_033,2025-12-24,2025,358,0.3097,0.1931,16
JERC_019,2025-12-24,2025,358,0.2722,0.1267,16
JERC_030,2025-12-24,2025,358,0.3098,0.1826,16
JERC_034,2025-12-24,2025,358,0.2792,0.175,16
JERC_036,2025-12-24,2025,358,0.3417,0.2065,16
JERC_028,2025-12-24,2025,358,0.234,0.0446,16
JERC_044,2025-12-24,2025,358,0.2785,0.1222,16
JERC_016,2025-12-24,2025,358,0.3956,0.2753,16
JERC_038,2025-12-24,2025,358,0.4208,0.3034,16
JERC_006,2025-12-24,2025,358,0.3284,0.1829,16
JERC_041,2025-12-24,2025,358,0.3332,0.2071,16
JERC_031,2025-12-24,2025,358,0.3903,0.3,16
JERC_042,2025-12-24,2025,358,0.2948,0.1745,16
JERC_008,2025-12-24,2025,358,0.2955,0.1906,16
JERC_005,2025-12-24,2025,358,0.392,0.3068,16
JERC_003,2025-12-24,2025,358,0.3876,0.2694,16
JERC_022,2025-12-24,2025,358,0.3155,0.2048,16
