plotID,date,year,doy,ndvi,nbr,npix
OSBS_002,2025-12-23,2025,357,0.3662,0.2692,16
OSBS_006,2025-12-23,2025,357,0.3099,0.1718,16
OSBS_048,2025-12-23,2025,357,0.3803,0.274,16
OSBS_001,2025-12-23,2025,357,0.4488,0.3412,16
OSBS_018,2025-12-23,2025,357,0.3764,0.2378,16
OSBS_011,2025-12-23,2025,357,0.4748,0.3701,16
OSBS_014,2025-12-23,2025,357,0.4072,0.314,16
OSBS_004,2025-12-23,2025,357,0.3666,0.2541,16
OSBS_020,2025-12-23,2025,357,0.4365,0.3154,16
OSBS_023,2025-12-23,2025,357,0.1618,-0.0812,16
OSBS_049,2025-12-23,2025,357,0.1787,0.0301,16
OSBS_003,2025-12-23,2025,357,0.4129,0.2856,16
OSBS_012,2025-12-23,2025,357,0.1411,-0.1072,16
OSBS_013,2025-12-23,2025,357,0.3428,0.2296,16
OSBS_024,2025-12-23,2025,357,0.1388,-0.1495,16
OSBS_016,2025-12-23,2025,357,0.4018,0.2911,16
OSBS_008,2025-12-23,2025,357,0.3594,0.248,16
OSBS_010,2025-12-23,2025,357,0.4292,0.3134,16
OSBS_051,2025-12-23,2025,357,0.2461,0.0866,16
OSBS_050,2025-12-23,2025,357,0.2083,0.072,16
OSBS_007,2025-12-23,2025,357,0.3423,0.2371,16
OSBS_005,2025-12-23,2025,357,0.1783,0.0186,16
OSBS_017,2025-12-23,2025,357,0.3562,0.2404,16
OSBS_043,2025-12-23,2025,357,0.3269,0.1878,16
OSBS_022,2025-12-23,2025,357,0.1636,-0.0628,16
OSBS_039,2025-12-23,2025,357,0.2738,0.1077,16
OSBS_036,2025-12-23,2025,357,0.3318,0.1977,16
OSBS_029,2025-12-23,2025,357,0.2696,0.103,16
OSBS_040,2025-12-23,2025,357,0.3551,0.2606,16
OSBS_015,2025-12-23,2025,357,0.1655,-0.003,16
OSBS_025,2025-12-23,2025,357,0.2743,0.1302,16
OSBS_030,2025-12-23,2025,357,0.3019,0.1528,16
OSBS_038,2025-12-23,2025,357,0.3337,0.19,16
OSBS_042,2025-12-23,2025,357,0.3591,0.2195,16
OSBS_035,2025-12-23,2025,357,0.3467,0.2376,16
OSBS_037,2025-12-23,2025,357,0.2873,0.1505,16
OSBS_028,2025-12-23,2025,357,0.2797,0.117,16
OSBS_021,2025-12-23,2025,357,0.1855,-0.0281,16
OSBS_041,2025-12-23,2025,357,0.3156,0.1784,16
OSBS_009,2025-12-23,2025,357,0.4158,0.3035,16
