plotID,date,year,doy,ndvi,nbr,npix
SERC_062,2025-11-02,2025,306,0.3972,0.3285,16
SERC_045,2025-11-02,2025,306,0.3438,0.2862,16
SERC_051,2025-11-02,2025,306,0.3597,0.3012,16
SERC_050,2025-11-02,2025,306,0.3638,0.2817,16
SERC_052,2025-11-02,2025,306,0.3283,0.1905,16
SERC_058,2025-11-02,2025,306,0.4378,0.3256,16
SERC_043,2025-11-02,2025,306,0.3843,0.2479,16
SERC_055,2025-11-02,2025,306,0.4166,0.3133,16
SERC_048,2025-11-02,2025,306,0.3817,0.2865,16
SERC_060,2025-11-02,2025,306,0.3621,0.224,16
SERC_061,2025-11-02,2025,306,0.3446,0.2097,16
SERC_054,2025-11-02,2025,306,0.3471,0.2422,16
SERC_059,2025-11-02,2025,306,0.2896,0.178,16
SERC_046,2025-11-02,2025,306,0.3126,0.1816,16
SERC_053,2025-11-02,2025,306,0.3462,0.2253,16
SERC_044,2025-11-02,2025,306,0.3505,0.2638,16
SERC_047,2025-11-02,2025,306,0.3831,0.2763,16
SERC_049,2025-11-02,2025,306,0.3868,0.3072,16
SERC_057,2025-11-02,2025,306,0.3686,0.2751,16
SERC_056,2025-11-02,2025,306,0.3544,0.2544,16
SERC_007,2025-11-02,2025,306,0.2424,0.0961,16
SERC_018,2025-11-02,2025,306,0.2377,0.0489,16
SERC_009,2025-11-02,2025,306,0.3712,0.2893,16
SERC_008,2025-11-02,2025,306,0.1905,-0.0302,16
SERC_011,2025-11-02,2025,306,0.2864,0.176,16
SERC_003,2025-11-02,2025,306,0.3523,0.2372,16
SERC_006,2025-11-02,2025,306,0.3037,0.249,16
SERC_001,2025-11-02,2025,306,0.2967,0.2487,16
SERC_017,2025-11-02,2025,306,0.4219,0.3775,16
SERC_019,2025-11-02,2025,306,0.3658,0.2743,16
SERC_010,2025-11-02,2025,306,0.3552,0.2862,16
SERC_014,2025-11-02,2025,306,0.3466,0.2618,16
SERC_012,2025-11-02,2025,306,0.382,0.2852,16
SERC_016,2025-11-02,2025,306,0.361,0.2531,16
SERC_022,2025-11-02,2025,306,0.3382,0.2454,16
SERC_004,2025-11-02,2025,306,0.3648,0.2521,16
SERC_021,2025-11-02,2025,306,0.3703,0.2751,16
SERC_013,2025-11-02,2025,306,0.3203,0.2336,16
SERC_005,2025-11-02,2025,306,0.3775,0.2608,16
SERC_002,2025-11-02,2025,306,0.3721,0.2529,16
SERC_067,2025-11-02,2025,306,0.3473,0.2559,16
SERC_073,2025-11-02,2025,306,0.366,0.2696,16
SERC_062,2025-10-21,2025,294,0.5072,0.4145,16
SERC_045,2025-10-21,2025,294,0.4878,0.3847,16
SERC_051,2025-10-21,2025,294,0.4934,0.3987,16
SERC_050,2025-10-21,2025,294,0.4641,0.3684,16
SERC_052,2025-10-21,2025,294,0.4263,0.296,16
SERC_058,2025-10-21,2025,294,0.5306,0.402,16
SERC_043,2025-10-21,2025,294,0.4881,0.3219,16
SERC_055,2025-10-21,2025,294,0.5147,0.3946,16
SERC_048,2025-10-21,2025,294,0.4776,0.357,16
SERC_060,2025-10-21,2025,294,0.4363,0.3077,16
SERC_061,2025-10-21,2025,294,0.4406,0.2995,16
SERC_054,2025-10-21,2025,294,0.4559,0.377,16
SERC_059,2025-10-21,2025,294,0.3867,0.3024,16
