plotID,date,year,doy,ndvi,nbr,npix
SOAP_059,2025-12-11,2025,345,0.3067,0.1673,16
SOAP_057,2025-12-11,2025,345,0.3166,0.1419,16
SOAP_051,2025-12-11,2025,345,0.361,0.1803,16
SOAP_048,2025-12-11,2025,345,0.3917,0.1906,16
SOAP_058,2025-12-11,2025,345,0.3535,0.2194,16
SOAP_043,2025-12-11,2025,345,0.3587,0.1729,16
SOAP_050,2025-12-11,2025,345,0.4603,0.253,16
SOAP_044,2025-12-11,2025,345,0.3705,0.2033,16
SOAP_052,2025-12-11,2025,345,0.4958,0.3199,16
SOAP_046,2025-12-11,2025,345,0.3238,0.1519,16
SOAP_060,2025-12-11,2025,345,0.411,0.2871,16
SOAP_055,2025-12-11,2025,345,0.4272,0.187,16
SOAP_054,2025-12-11,2025,345,0.4951,0.2917,16
SOAP_047,2025-12-11,2025,345,0.4338,0.2873,16
SOAP_031,2025-12-11,2025,345,0.3637,0.2159,16
SOAP_049,2025-12-11,2025,345,0.1988,0.0077,16
SOAP_056,2025-12-11,2025,345,0.4638,0.2561,16
SOAP_053,2025-12-11,2025,345,0.482,0.3431,16
SOAP_045,2025-12-11,2025,345,0.5299,0.3579,16
SOAP_061,2025-12-11,2025,345,0.2509,0.0745,16
SOAP_002,2025-12-11,2025,345,0.3924,0.2174,16
SOAP_010,2025-12-11,2025,345,0.4105,0.2142,16
SOAP_006,2025-12-11,2025,345,0.2982,0.1644,16
SOAP_013,2025-12-11,2025,345,0.3578,0.1671,16
SOAP_012,2025-12-11,2025,345,0.4039,0.2,16
SOAP_004,2025-12-11,2025,345,0.3405,0.1712,16
SOAP_003,2025-12-11,2025,345,0.4811,0.2992,16
SOAP_016,2025-12-11,2025,345,0.3455,0.1817,16
SOAP_007,2025-12-11,2025,345,0.4456,0.3131,16
SOAP_020,2025-12-11,2025,345,0.3819,0.2358,16
SOAP_009,2025-12-11,2025,345,0.4033,0.2575,16
SOAP_008,2025-12-11,2025,345,0.2991,0.1522,16
SOAP_021,2025-12-11,2025,345,0.3939,0.1828,16
SOAP_018,2025-12-11,2025,345,0.4804,0.3546,16
SOAP_019,2025-12-11,2025,345,0.3503,0.1834,16
SOAP_017,2025-12-11,2025,345,0.3212,0.1693,16
SOAP_015,2025-12-11,2025,345,0.4018,0.2792,16
SOAP_001,2025-12-11,2025,345,0.438,0.2791,16
SOAP_011,2025-12-11,2025,345,0.3568,0.1774,16
SOAP_022,2025-12-11,2025,345,0.3595,0.2236,16
SOAP_024,2025-12-11,2025,345,0.3202,0.136,16
SOAP_059,2025-12-11,2025,345,0.3201,0.1064,16
SOAP_057,2025-12-11,2025,345,0.3362,0.1439,16
SOAP_051,2025-12-11,2025,345,0.3685,0.2136,16
SOAP_048,2025-12-11,2025,345,0.34,0.1614,16
SOAP_058,2025-12-11,2025,345,0.3422,0.1934,16
SOAP_043,2025-12-11,2025,345,0.2833,0.1313,16
SOAP_050,2025-12-11,2025,345,0.3474,0.1936,16
SOAP_044,2025-12-11,2025,345,0.428,0.2851,16
SOAP_052,2025-12-11,2025,345,0.3427,0.1836,16
SOAP_046,2025-12-11,2025,345,0.342,0.1949,16
SOAP_060,2025-12-11,2025,345,0.3807,0.2556,16
SOAP_055,2025-12-11,2025,345,0.3711,0.2197,16
SOAP_054,2025-12-11,2025,345,0.3998,0.2323,16
SOAP_047,2025-12-11,2025,345,0.3777,0.2105,16
SOAP_031,2025-12-11,2025,345,0.3421,0.2103,16
SOAP_049,2025-12-11,2025,345,0.3652,0.2086,16
SOAP_056,2025-12-11,2025,345,0.3655,0.2111,16
SOAP_053,2025-12-11,2025,345,0.3993,0.2513,16
SOAP_045,2025-12-11,2025,345,0.4161,0.3104,16
SOAP_061,2025-12-11,2025,345,0.3143,0.1189,16
SOAP_002,2025-12-11,2025,345,0.3096,0.2,16
SOAP_010,2025-12-11,2025,345,0.3626,0.1739,16
SOAP_006,2025-12-11,2025,345,0.2343,0.1203,16
SOAP_013,2025-12-11,2025,345,0.284,0.1459,16
SOAP_012,2025-12-11,2025,345,0.2715,0.1545,16
SOAP_004,2025-12-11,2025,345,0.3655,0.1717,16
SOAP_003,2025-12-11,2025,345,0.4079,0.2499,16
SOAP_016,2025-12-11,2025,345,0.2896,0.1291,16
SOAP_007,2025-12-11,2025,345,0.308,0.1529,16
SOAP_020,2025-12-11,2025,345,0.2398,0.0368,16
SOAP_009,2025-12-11,2025,345,0.2406,0.1346,16
SOAP_008,2025-12-11,2025,345,0.3495,0.2357,16
SOAP_021,2025-12-11,2025,345,0.3564,0.1539,16
SOAP_018,2025-12-11,2025,345,0.3308,0.1834,16
SOAP_019,2025-12-11,2025,345,0.3943,0.2881,16
SOAP_017,2025-12-11,2025,345,0.3521,0.1947,16
SOAP_015,2025-12-11,2025,345,0.3,0.2092,16
SOAP_001,2025-12-11,2025,345,0.3806,0.2009,16
SOAP_011,2025-12-11,2025,345,0.3219,0.1427,16
SOAP_022,2025-12-11,2025,345,0.3285,0.171,16
SOAP_024,2025-12-11,2025,345,0.2875,0.1646,16
SOAP_059,2025-12-06,2025,340,0.3144,0.1333,16
SOAP_057,2025-12-06,2025,340,0.3161,0.1159,16
SOAP_051,2025-12-06,2025,340,0.4092,0.1669,16
SOAP_048,2025-12-06,2025,340,0.4019,0.1632,16
SOAP_058,2025-12-06,2025,340,0.3485,0.153,16
SOAP_043,2025-12-06,2025,340,0.3537,0.1593,16
SOAP_050,2025-12-06,2025,340,0.4719,0.2214,16
SOAP_044,2025-12-06,2025,340,0.3543,0.1562,16
SOAP_052,2025-12-06,2025,340,0.5086,0.2969,16
SOAP_046,2025-12-06,2025,340,0.3456,0.1444,16
SOAP_060,2025-12-06,2025,340,0.4163,0.2662,16
SOAP_055,2025-12-06,2025,340,0.4436,0.1569,16
SOAP_054,2025-12-06,2025,340,0.5118,0.2628,16
SOAP_047,2025-12-06,2025,340,0.4962,0.3027,16
SOAP_031,2025-12-06,2025,340,0.3788,0.1837,16
SOAP_049,2025-12-06,2025,340,0.2061,-0.0263,16
SOAP_056,2025-12-06,2025,340,0.4987,0.2576,16
SOAP_053,2025-12-06,2025,340,0.4967,0.3427,16
SOAP_045,2025-12-06,2025,340,0.5271,0.3349,16
SOAP_061,2025-12-06,2025,340,0.2567,0.0606,16
SOAP_002,2025-12-06,2025,340,0.4296,0.2222,16
SOAP_010,2025-12-06,2025,340,0.4184,0.1776,16
SOAP_006,2025-12-06,2025,340,0.3074,0.1209,16
SOAP_013,2025-12-06,2025,340,0.354,0.1474,16
SOAP_012,2025-12-06,2025,340,0.4371,0.1799,16
SOAP_004,2025-12-06,2025,340,0.3567,0.1528,16
SOAP_003,2025-12-06,2025,340,0.4869,0.28,16
SOAP_016,2025-12-06,2025,340,0.3425,0.1545,16
SOAP_007,2025-12-06,2025,340,0.4408,0.2824,16
SOAP_020,2025-12-06,2025,340,0.4015,0.2265,16
SOAP_009,2025-12-06,2025,340,0.4125,0.253,16
SOAP_008,2025-12-06,2025,340,0.3029,0.1458,16
SOAP_021,2025-12-06,2025,340,0.409,0.1541,16
SOAP_018,2025-12-06,2025,340,0.4886,0.3394,16
SOAP_019,2025-12-06,2025,340,0.3798,0.2079,16
SOAP_017,2025-12-06,2025,340,0.3271,0.1627,16
SOAP_015,2025-12-06,2025,340,0.3971,0.249,16
SOAP_001,2025-12-06,2025,340,0.4386,0.275,16
SOAP_011,2025-12-06,2025,340,0.3853,0.1617,16
SOAP_022,2025-12-06,2025,340,0.3639,0.1893,16
SOAP_024,2025-12-06,2025,340,0.3153,0.1259,16
SOAP_059,2025-12-06,2025,340,0.3352,0.1023,16
SOAP_057,2025-12-06,2025,340,0.3188,0.1294,16
SOAP_051,2025-12-06,2025,340,0.3962,0.2249,16
SOAP_048,2025-12-06,2025,340,0.3383,0.1322,16
SOAP_058,2025-12-06,2025,340,0.325,0.1769,16
SOAP_043,2025-12-06,2025,340,0.2901,0.1089,16
SOAP_050,2025-12-06,2025,340,0.3379,0.1645,16
SOAP_044,2025-12-06,2025,340,0.4343,0.2768,16
SOAP_052,2025-12-06,2025,340,0.365,0.215,16
SOAP_046,2025-12-06,2025,340,0.3388,0.1903,16
SOAP_060,2025-12-06,2025,340,0.37,0.2352,16
SOAP_055,2025-12-06,2025,340,0.362,0.1909,16
SOAP_054,2025-12-06,2025,340,0.3955,0.2049,16
SOAP_047,2025-12-06,2025,340,0.398,0.2267,16
SOAP_031,2025-12-06,2025,340,0.3619,0.2116,16
SOAP_049,2025-12-06,2025,340,0.3678,0.209,16
SOAP_056,2025-12-06,2025,340,0.3746,0.1934,16
SOAP_053,2025-12-06,2025,340,0.4208,0.2596,16
SOAP_045,2025-12-06,2025,340,0.404,0.2997,16
SOAP_061,2025-12-06,2025,340,0.3039,0.0936,16
SOAP_002,2025-12-06,2025,340,0.3006,0.1913,16
SOAP_010,2025-12-06,2025,340,0.3612,0.1602,16
SOAP_006,2025-12-06,2025,340,0.2221,0.0797,16
SOAP_013,2025-12-06,2025,340,0.2958,0.1527,16
SOAP_012,2025-12-06,2025,340,0.266,0.1584,16
SOAP_004,2025-12-06,2025,340,0.3834,0.1608,16
SOAP_003,2025-12-06,2025,340,0.4142,0.2386,16
SOAP_016,2025-12-06,2025,340,0.2833,0.1025,16
SOAP_007,2025-12-06,2025,340,0.3034,0.136,16
SOAP_020,2025-12-06,2025,340,0.2497,0.0177,16
SOAP_009,2025-12-06,2025,340,0.2015,0.1016,16
SOAP_008,2025-12-06,2025,340,0.3341,0.2127,16
SOAP_021,2025-12-06,2025,340,0.3641,0.1375,16
SOAP_018,2025-12-06,2025,340,0.3341,0.1731,16
SOAP_019,2025-12-06,2025,340,0.4146,0.285,16
SOAP_017,2025-12-06,2025,340,0.3494,0.1786,16
SOAP_015,2025-12-06,2025,340,0.308,0.1978,16
SOAP_001,2025-12-06,2025,340,0.3804,0.1745,16
SOAP_011,2025-12-06,2025,340,0.3427,0.1427,16
SOAP_022,2025-12-06,2025,340,0.3419,0.1655,16
SOAP_024,2025-12-06,2025,340,0.2932,0.1529,16
SOAP_059,2025-12-01,2025,335,0.2996,0.1791,16
SOAP_057,2025-12-01,2025,335,0.2986,0.1489,16
SOAP_051,2025-12-01,2025,335,0.3466,0.2077,16
SOAP_048,2025-12-01,2025,335,0.3763,0.1848,16
SOAP_058,2025-12-01,2025,335,0.3267,0.2334,16
SOAP_043,2025-12-01,2025,335,0.3345,0.1736,16
SOAP_050,2025-12-01,2025,335,0.4042,0.2401,16
SOAP_044,2025-12-01,2025,335,0.3508,0.1928,16
SOAP_052,2025-12-01,2025,335,0.4564,0.2885,16
SOAP_046,2025-12-01,2025,335,0.303,0.1779,16
SOAP_060,2025-12-01,2025,335,0.3896,0.2921,16
SOAP_055,2025-12-01,2025,335,0.4096,0.2071,16
SOAP_054,2025-12-01,2025,335,0.4459,0.2701,16
SOAP_047,2025-12-01,2025,335,0.4159,0.2973,16
SOAP_031,2025-12-01,2025,335,0.3591,0.2059,16
SOAP_049,2025-12-01,2025,335,0.2649,0.0859,16
SOAP_056,2025-12-01,2025,335,0.4143,0.2558,16
SOAP_053,2025-12-01,2025,335,0.438,0.3145,16
SOAP_045,2025-12-01,2025,335,0.4855,0.3437,16
SOAP_061,2025-12-01,2025,335,0.2455,0.0796,16
SOAP_002,2025-12-01,2025,335,0.3905,0.2285,16
SOAP_010,2025-12-01,2025,335,0.3999,0.2178,16
SOAP_006,2025-12-01,2025,335,0.2949,0.1729,16
SOAP_013,2025-12-01,2025,335,0.3526,0.1824,16
SOAP_012,2025-12-01,2025,335,0.3762,0.19,16
SOAP_004,2025-12-01,2025,335,0.3436,0.1693,16
SOAP_003,2025-12-01,2025,335,0.4496,0.2758,16
SOAP_016,2025-12-01,2025,335,0.34,0.1748,16
SOAP_007,2025-12-01,2025,335,0.4461,0.3029,16
SOAP_020,2025-12-01,2025,335,0.3757,0.2109,16
SOAP_009,2025-12-01,2025,335,0.4006,0.2476,16
SOAP_008,2025-12-01,2025,335,0.2927,0.1699,16
SOAP_021,2025-12-01,2025,335,0.3703,0.1879,16
SOAP_018,2025-12-01,2025,335,0.4633,0.3308,16
SOAP_019,2025-12-01,2025,335,0.3408,0.1828,16
SOAP_017,2025-12-01,2025,335,0.311,0.1777,16
SOAP_015,2025-12-01,2025,335,0.3925,0.258,16
SOAP_001,2025-12-01,2025,335,0.3983,0.2734,16
SOAP_011,2025-12-01,2025,335,0.3534,0.1975,16
SOAP_022,2025-12-01,2025,335,0.3497,0.2001,16
