plotID,date,year,doy,ndvi,nbr,npix
TALL_003,2025-12-14,2025,348,0.3499,0.2419,16
TALL_005,2025-12-14,2025,348,0.3138,0.2094,16
TALL_009,2025-12-14,2025,348,0.2707,0.1385,16
TALL_012,2025-12-14,2025,348,0.323,0.2069,16
TALL_004,2025-12-14,2025,348,0.3395,0.2302,16
TALL_010,2025-12-14,2025,348,0.2813,0.1124,16
TALL_007,2025-12-14,2025,348,0.1981,0.055,16
TALL_002,2025-12-14,2025,348,0.2931,0.1714,16
TALL_022,2025-12-14,2025,348,0.2904,0.167,16
TALL_015,2025-12-14,2025,348,0.288,0.1342,16
TALL_016,2025-12-14,2025,348,0.3515,0.2527,16
TALL_011,2025-12-14,2025,348,0.2853,0.1078,16
TALL_018,2025-12-14,2025,348,0.433,0.3701,16
TALL_006,2025-12-14,2025,348,0.3104,0.1999,16
TALL_013,2025-12-14,2025,348,0.4015,0.3205,16
TALL_001,2025-12-14,2025,348,0.3129,0.1449,16
TALL_017,2025-12-14,2025,348,0.3093,0.168,16
TALL_020,2025-12-14,2025,348,0.3522,0.2741,16
TALL_008,2025-12-14,2025,348,0.2297,0.0828,16
TALL_043,2025-12-14,2025,348,0.3488,0.2555,16
TALL_049,2025-12-14,2025,348,0.394,0.314,16
TALL_046,2025-12-14,2025,348,0.3136,0.2017,16
TALL_061,2025-12-14,2025,348,0.357,0.2589,16
TALL_052,2025-12-14,2025,348,0.3324,0.2288,16
TALL_050,2025-12-14,2025,348,0.3909,0.3193,16
TALL_051,2025-12-14,2025,348,0.3176,0.2053,16
TALL_057,2025-12-14,2025,348,0.3245,0.197,16
TALL_060,2025-12-14,2025,348,0.2944,0.1615,16
TALL_055,2025-12-14,2025,348,0.2392,0.0817,16
TALL_058,2025-12-14,2025,348,0.2798,0.1212,16
TALL_045,2025-12-14,2025,348,0.3653,0.2674,16
TALL_059,2025-12-14,2025,348,0.2667,0.1091,16
TALL_054,2025-12-14,2025,348,0.3071,0.1907,16
TALL_056,2025-12-14,2025,348,0.2923,0.1826,16
TALL_044,2025-12-14,2025,348,0.3466,0.2438,16
TALL_047,2025-12-14,2025,348,0.283,0.1568,16
TALL_048,2025-12-14,2025,348,0.4164,0.3488,16
TALL_042,2025-12-14,2025,348,0.2695,0.1657,16
TALL_053,2025-12-14,2025,348,0.2866,0.14,16
TALL_064,2025-12-14,2025,348,0.343,0.1777,16
TALL_025,2025-12-14,2025,348,0.3211,0.1698,16
TALL_003,2025-12-12,2025,346,0.3412,0.227,16
TALL_005,2025-12-12,2025,346,0.3063,0.1961,16
TALL_009,2025-12-12,2025,346,0.2727,0.1227,16
TALL_012,2025-12-12,2025,346,0.3275,0.1854,16
TALL_004,2025-12-12,2025,346,0.3291,0.213,16
TALL_010,2025-12-12,2025,346,0.2658,0.0885,16
TALL_007,2025-12-12,2025,346,0.1913,0.0344,16
TALL_002,2025-12-12,2025,346,0.2978,0.1607,16
TALL_022,2025-12-12,2025,346,0.2883,0.1605,16
TALL_015,2025-12-12,2025,346,0.2843,0.1283,16
TALL_016,2025-12-12,2025,346,0.3464,0.2373,16
TALL_011,2025-12-12,2025,346,0.2773,0.0883,16
TALL_018,2025-12-12,2025,346,0.4308,0.3693,16
TALL_006,2025-12-12,2025,346,0.3057,0.1878,16
TALL_013,2025-12-12,2025,346,0.4003,0.304,16
TALL_001,2025-12-12,2025,346,0.3037,0.1238,16
TALL_017,2025-12-12,2025,346,0.2969,0.1391,16
TALL_020,2025-12-12,2025,346,0.3489,0.2621,16
