plotID,date,year,doy,ndvi,nbr,npix
WREF_082,2025-11-02,2025,306,0.4746,0.4494,16
WREF_074,2025-11-02,2025,306,0.2773,0.3336,16
WREF_085,2025-11-02,2025,306,0.3311,0.3507,16
WREF_015,2025-11-02,2025,306,0.3993,0.37,16
WREF_013,2025-11-02,2025,306,0.362,0.3192,16
WREF_003,2025-11-02,2025,306,0.4467,0.416,16
WREF_018,2025-11-02,2025,306,0.3357,0.2846,16
WREF_020,2025-11-02,2025,306,0.3392,0.3053,16
WREF_002,2025-11-02,2025,306,0.5678,0.5364,16
WREF_004,2025-11-02,2025,306,0.3447,0.3147,16
WREF_017,2025-11-02,2025,306,0.396,0.3839,16
WREF_089,2025-10-18,2025,291,0.4067,0.3342,16
WREF_082,2025-10-18,2025,291,0.4271,0.3558,16
WREF_077,2025-10-18,2025,291,0.4043,0.3415,16
WREF_083,2025-10-18,2025,291,0.4253,0.3741,16
WREF_086,2025-10-18,2025,291,0.2897,0.2153,16
WREF_081,2025-10-18,2025,291,0.4079,0.3458,16
WREF_076,2025-10-18,2025,291,0.3973,0.3509,16
WREF_070,2025-10-18,2025,291,0.465,0.4138,16
WREF_074,2025-10-18,2025,291,0.377,0.3025,16
WREF_072,2025-10-18,2025,291,0.3625,0.3009,16
WREF_080,2025-10-18,2025,291,0.5501,0.4894,16
WREF_073,2025-10-18,2025,291,0.4975,0.4477,16
WREF_079,2025-10-18,2025,291,0.3811,0.318,16
WREF_085,2025-10-18,2025,291,0.4099,0.3349,16
WREF_084,2025-10-18,2025,291,0.4145,0.3078,16
WREF_078,2025-10-18,2025,291,0.394,0.2964,16
WREF_088,2025-10-18,2025,291,0.4209,0.3267,16
WREF_087,2025-10-18,2025,291,0.4334,0.3742,16
WREF_075,2025-10-18,2025,291,0.4295,0.3862,16
WREF_071,2025-10-18,2025,291,0.409,0.3568,16
WREF_012,2025-10-18,2025,291,0.3326,0.2865,16
WREF_016,2025-10-18,2025,291,0.4188,0.3586,16
WREF_015,2025-10-18,2025,291,0.4197,0.367,16
WREF_013,2025-10-18,2025,291,0.3964,0.3173,16
WREF_001,2025-10-18,2025,291,0.3969,0.2696,16
