siteID,MAT_C,MAP_mm,elevation_m
ABBY,10.0,2451,365
BART,6.2,1325,274
BLAN,12.1,983,183
GRSM,13.1,1375,575
HARV,7.4,1199,348
JERC,19.2,1308,47
MLBS,8.8,1227,1170
ORNL,14.4,1340,344
OSBS,20.9,1302,46
RMNP,2.9,731,2742
SCBI,11.6,1126,352
SERC,13.6,1075,33
SOAP,13.4,900,1210
STEI,4.8,797,476
TALL,17.2,1383,166
TEAK,8.0,1223,2149
TREE,4.8,797,467
UNDE,4.3,802,521
WREF,9.2,2225,351
DELA,17.6,1372,25
LENO,18.1,1386,13
UKFS,12.7,990,322
YELL,3.4,493,2133
BONA,-3.0,262,230
DEJU,-3.0,305,517
HEAL,-1.3,385,677
