siteID,amf_code,tower_gpp,n_years
ABBY,US-xAB,1589.1599999999999,3
BART,US-xBR,1402.7079999999999,5
BLAN,US-xBL,1845.6175,4
BONA,US-xBN,539.4656,5
DEJU,US-xDJ,537.5214,5
DELA,US-xDL,2125.2075,4
GRSM,US-xGR,2354.3500000000004,3
HARV,US-xHA,1656.2483333333332,6
HEAL,US-xHE,376.72249999999997,4
JERC,US-xJE,1936.346,5
MLBS,US-xML,1169.243,4
OSBS,US-xSB,1550.73,4
RMNP,US-xRM,710.97525,4
SCBI,US-xSC,1535.755,4
SERC,US-xSE,1851.828,5
STEI,US-xST,1307.71,5
TALL,US-xTA,1700.31125,6
TREE,US-xTR,1352.6119999999999,5
UKFS,US-xUK,1606.38,5
UNDE,US-xUN,1175.9999999999998,6
WREF,US-xWR,1554.22,6
YELL,US-xYE,582.2333333333332,3
