response,predictor,feature,category,beta,se,p,n,r2
Hill q1,Canopy_Ht,mean,Structural,-0.08476180662318354,0.05049915183358776,0.09325346927952896,472,0.011976459515742515
Hill q1,Canopy_Ht,sd,Structural,-0.0733558501264129,0.041772357253131984,0.07907373191088972,472,0.009002266974128186
Hill q1,Canopy_Ht,trend,Structural,-0.09199520202830108,0.045094003282721486,0.04134273862490491,472,0.014117915737427614
Hill q1,Max_Ht,mean,Structural,0.06854490660092047,0.05535634967034886,0.2156240023907573,472,0.004289918302456743
Hill q1,Max_Ht,sd,Structural,-0.014959592231977391,0.04682727355960898,0.7493752671843933,472,0.0003752259747235927
Hill q1,Max_Ht,trend,Structural,-0.10167063754498169,0.05277729900798741,0.05405338661808388,472,0.00931515612983823
Hill q1,Rumple,mean,Structural,-0.30458238362227436,0.07025015203454482,1.4530828600199332e-05,472,0.13934183090556274
Hill q1,Rumple,sd,Structural,-0.0822333269855338,0.04730279254531218,0.08213234476674809,472,0.011285447872747592
Hill q1,Rumple,trend,Structural,0.1869522664345105,0.050234751065949816,0.00019798602960528612,472,0.056931588827902176
Hill q1,Rugosity,sd,Structural,-0.04481763614535359,0.04377317497645756,0.3059010472757435,472,0.0033646426022116835
Hill q1,Rugosity,trend,Structural,-0.004792860835339816,0.045153457438975274,0.9154664804266937,472,3.852156702433043e-05
Hill q1,Deep_Gap,mean,Structural,-0.38627458146626525,0.06526642557842718,3.2503502642618884e-09,472,0.13417083460078325
Hill q1,Deep_Gap,sd,Structural,-0.10554914959373157,0.04643038622981731,0.0230094660985725,472,0.010095732957200133
Hill q1,Deep_Gap,trend,Structural,0.12395165018875381,0.04765041324504079,0.009287898274437502,472,0.02547606099984464
Hill q1,Vert_SD,mean,Structural,0.022724908359521928,0.05478148202174754,0.6782676102562446,472,0.0008655863079290347
Hill q1,Vert_SD,sd,Structural,-0.1696238719545312,0.04055002229926629,2.8758973387409858e-05,472,0.0476889919105491
Hill q1,Vert_SD,trend,Structural,-0.009520024460307756,0.044168765923076954,0.8293482945903092,472,0.00015197572916069723
Hill q1,Vert_CV,mean,Structural,0.13937321400306674,0.05197949336964314,0.007333421413729179,472,0.017064014970578942
Hill q1,Vert_CV,sd,Structural,-0.12553510129546924,0.04213095811604025,0.0028858702581902674,472,0.02622856277814212
Hill q1,Vert_CV,trend,Structural,0.06057276819964875,0.0402306501599512,0.13216030314390947,472,0.0061450311634055725
Hill q1,Gini,mean,Structural,0.1718025480986995,0.052169990150539323,0.0009907873026046006,472,0.04821636165676975
Hill q1,Gini,sd,Structural,-0.12689547367241438,0.040945445420683756,0.0019408638983051739,472,0.014461689747969386
Hill q1,Gini,trend,Structural,0.06545489411932678,0.04012079111002079,0.10279629819092828,472,0.007174185117308418
Hill q1,VCI,mean,Structural,0.30704945663995276,0.04579107197258993,2.0079525240118212e-11,472,0.14784016569207262
Hill q1,VCI,sd,Structural,-0.06572924968077723,0.04256958930473818,0.12257806787364346,472,0.007229726945719931
Hill q1,VCI,trend,Structural,-0.0453484422829207,0.04626540646084411,0.32699710249682623,472,0.003443889044019431
Hill q1,FHD,mean,Structural,0.14442001287089667,0.05384771594435523,0.007318167749547728,472,0.03430251852507045
Hill q1,FHD,sd,Structural,-0.0912931361851438,0.048080176813152194,0.05759489053044772,472,0.013889866829153207
Hill q1,FHD,trend,Structural,-0.09530806342845294,0.050392042871661866,0.05858009201555715,471,0.015087339672469766
Hill q1,LAI,mean,Structural,0.36365019722728065,0.06969359261788441,1.8101917840141225e-07,472,0.19017262576442273
Hill q1,LAI,sd,Structural,0.03937420880206081,0.04908292439899843,0.42243860969003566,472,0.0025966860348830886
Hill q1,LAI,trend,Structural,-0.11576181233397895,0.047889375049750944,0.01563717732185543,472,0.022250363447270927
