response,predictor,beta_2x,hdi_2.5_2x,hdi_97.5_2x,credible_2x,divergences
Hill_q1,Rugosity_mean,-0.0991,-0.1744,-0.0235,True,0
Hill_q1,Vert_CV_mean,0.0566,-0.0299,0.1392,False,0
Hill_q1,VCI_mean,0.2729,0.2032,0.3443,True,0
Hill_q1,LAI_mean,0.4061,0.2684,0.5414,True,0
Hill_q1,EVI_mean,0.2366,0.1319,0.3411,True,0
Hill_q1,Rumple_trend,0.0911,0.0153,0.1679,True,0
Hill_q1,Vert_SD_trend,0.0382,-0.0432,0.1203,False,0
Hill_q1,Vert_CV_trend,0.0182,-0.0654,0.0993,False,0
Hill_q1,VCI_trend,0.0379,-0.0272,0.1027,False,0
Hill_q1,FHD_trend,-0.0832,-0.1677,0.0028,False,0
Hill_q1,LAI_trend,0.0106,-0.069,0.0911,False,0
Hill_q1,Ht_Ratio_trend,0.1146,0.035,0.1945,True,0
LCBD_nestedness_rare,Rugosity_mean,0.1383,0.0364,0.2402,True,0
LCBD_nestedness_rare,Vert_CV_mean,-0.119,-0.2364,-0.0006,True,0
LCBD_nestedness_rare,VCI_mean,-0.0756,-0.1679,0.0145,False,0
LCBD_nestedness_rare,LAI_mean,-0.0427,-0.2279,0.141,False,0
LCBD_nestedness_rare,EVI_mean,-0.0626,-0.2074,0.087,False,0
LCBD_nestedness_rare,Rumple_trend,-0.0738,-0.19,0.0423,False,0
LCBD_nestedness_rare,Vert_SD_trend,-0.073,-0.1851,0.0378,False,0
LCBD_nestedness_rare,Vert_CV_trend,0.1985,0.0779,0.3186,True,0
LCBD_nestedness_rare,VCI_trend,-0.0193,-0.1166,0.0789,False,0
LCBD_nestedness_rare,FHD_trend,0.0132,-0.1191,0.1421,False,0
LCBD_nestedness_rare,LAI_trend,-0.1905,-0.3065,-0.0737,True,0
LCBD_nestedness_rare,Ht_Ratio_trend,-0.3063,-0.4164,-0.1956,True,0
