response,model,n,k,R2,R2_adj,R2_beyond_domain,AIC,BIC,llf,dR2,dAIC,chi2,df,p
Hill q1,M0_domain,644,11.0,0.4904143309073834,0.4815449600845688,0.0,798.3905326168529,852.0029173301051,-387.1952663084264,,,,,
Hill q1,M1_state,644,17.0,0.6022200448619832,0.5914177138119092,0.11180571395459982,650.872372666845,731.2909497367233,-307.4361863334225,,,,,
Hill q1,M2_+dynamics,644,25.0,0.6432766604137762,0.628846104605272,0.15286232950639278,596.7160085144055,712.8761753931187,-272.35800425720277,,,,,
Hill q1,M3_+function,644,26.0,0.6530016421468005,0.6383793450573625,0.16258731123941705,580.91554282228,701.5434084270976,-263.45777141114,,,,,
Hill q1,LRT_M1->M2(dynamics),644,,,,,,,,0.04105661555179296,-54.15636415243944,70.15636415243944,8.0,4.574462135357381e-12
Hill q1,LRT_M2->M3(function),644,,,,,,,,0.009724981733024274,-15.8004656921255,17.8004656921255,1.0,2.4532319191573236e-05
Hill q2,M0_domain,644,11.0,0.4498599727993552,0.44028475080693885,0.0,723.0512641387547,776.663648852007,-349.52563206937737,,,,,
Hill q2,M1_state,644,17.0,0.5521387994372102,0.5399764345656968,0.10227882663785504,602.5872412762712,683.0058183461496,-283.2936206381356,,,,,
Hill q2,M2_+dynamics,644,25.0,0.5907734855725681,0.5742190149242092,0.14091351277321296,560.4890797740211,676.6492466527343,-254.24453988701055,,,,,
Hill q2,M3_+function,644,26.0,0.601274671949779,0.584472632194016,0.15141469915042383,545.747624354718,666.3754899595356,-245.873812177359,,,,,
Hill q2,LRT_M1->M2(dynamics),644,,,,,,,,0.03863468613535792,-42.09816150225015,58.09816150225015,8.0,1.0989028106498253e-09
Hill q2,LRT_M2->M3(function),644,,,,,,,,0.01050118637721087,-14.741455419303065,16.741455419303065,1.0,4.283473366726906e-05
LCBD turnover,M0_domain,579,11.0,0.5898679220186752,0.5819112150384378,0.0,-623.1622768666202,-570.8266471357442,323.5811384333101,,,,,
LCBD turnover,M1_state,579,17.0,0.6102468081666229,0.5984361053837933,0.020378886147947695,-640.6713314153735,-562.1678868190596,338.33566570768676,,,,,
LCBD turnover,M2_+dynamics,579,25.0,0.6262231057725646,0.6093254161601127,0.03635518375388935,-648.9051549055616,-535.5112904886637,350.4525774527808,,,,,
LCBD turnover,M3_+function,579,26.0,0.631286353371225,0.6139194062474058,0.041418431352549745,-654.8019984130601,-537.0468315185892,354.40099920653006,,,,,
LCBD turnover,LRT_M1->M2(dynamics),579,,,,,,,,0.01597629760594166,-8.233823490188115,24.233823490188115,8.0,0.002093731740919892
LCBD turnover,LRT_M2->M3(function),579,,,,,,,,0.005063247598660392,-5.896843507498488,7.896843507498488,1.0,0.004952113978582208
LCBD nestedness,M0_domain,579,11.0,0.33702290569276583,0.32416091620885124,0.0,-1771.5412883726985,-1719.2056586418225,897.7706441863493,,,,,
LCBD nestedness,M1_state,579,17.0,0.3721954639379109,0.3531710840572416,0.03517255824514509,-1791.1034881676878,-1712.6000435713738,913.5517440838439,,,,,
LCBD nestedness,M2_+dynamics,579,25.0,0.42882495042556346,0.403003293573193,0.09180204473279763,-1829.8381764345609,-1716.444312017663,940.9190882172804,,,,,
LCBD nestedness,M3_+function,579,26.0,0.4289233926163619,0.4020248567613355,0.09190048692359609,-1827.9379758583855,-1710.1828089639146,940.9689879291927,,,,,
LCBD nestedness,LRT_M1->M2(dynamics),579,,,,,,,,0.056629486487652536,-38.734688266873036,54.734688266873036,8.0,4.971325690776315e-09
LCBD nestedness,LRT_M2->M3(function),579,,,,,,,,9.84421907984645e-05,1.9002005761753935,0.09979942382460649,1.0,0.7520704661640831
