family,context,response,rs,beta_int,p,n,q,sig
stand age,stand_age_gami,Hill q1,Rugosity_mean,0.0157803375081222,0.46813225141290726,622,0.5927237294399208,False
stand age,stand_age_gami,Hill q1,Vert_CV_mean,0.03536734484062529,0.15081404661078174,622,0.35189944209182406,False
stand age,stand_age_gami,Hill q1,VCI_mean,-0.03881009273422718,0.39535286524877555,622,0.5927237294399208,False
stand age,stand_age_gami,Hill q1,LAI_mean,-0.08403090220028867,0.06038373272179009,622,0.26128082230731553,False
stand age,stand_age_gami,Hill q1,EVI_mean,-0.027966200527944438,0.47763004633616646,601,0.5927237294399208,False
stand age,stand_age_gami,Hill q1,modis_gpp,0.06461336393718592,0.08329609859853343,639,0.26394898234585945,False
stand age,stand_age_gami,Hill q1,pml_gpp,0.041749321175737535,0.14623675220999646,639,0.35189944209182406,False
stand age,stand_age_gami,Hill q2,Rugosity_mean,0.010866293304649745,0.5829770427520691,622,0.6411552426422372,False
stand age,stand_age_gami,Hill q2,Vert_CV_mean,0.028384469699882994,0.22507285903941687,622,0.48477231177720553,False
stand age,stand_age_gami,Hill q2,VCI_mean,-0.03111699865355054,0.43099258950776387,622,0.5927237294399208,False
stand age,stand_age_gami,Hill q2,LAI_mean,-0.06762472726153451,0.08484074432545483,622,0.26394898234585945,False
stand age,stand_age_gami,Hill q2,EVI_mean,-0.01909186237505973,0.5953584395963631,601,0.6411552426422372,False
stand age,stand_age_gami,Hill q2,modis_gpp,0.06088143207170113,0.0490205525952891,639,0.26128082230731553,False
stand age,stand_age_gami,Hill q2,pml_gpp,0.03762999031084775,0.11139551437498608,639,0.31190744024996103,False
stand age,stand_age_gami,turnover,Rugosity_mean,0.0056125869505997735,0.5085751085227816,572,0.593337626609912,False
stand age,stand_age_gami,turnover,Vert_CV_mean,-0.011923272785869542,0.4784733892755082,572,0.5927237294399208,False
stand age,stand_age_gami,turnover,VCI_mean,-0.012257548366091683,0.3090764764997428,572,0.5769427561328532,False
stand age,stand_age_gami,turnover,LAI_mean,-0.03932230967908801,0.04398428394980504,572,0.26128082230731553,False
stand age,stand_age_gami,turnover,EVI_mean,-0.03796606279433863,0.028674093897267765,551,0.26128082230731553,False
stand age,stand_age_gami,turnover,modis_gpp,-0.012902948895368575,0.34961965375797865,588,0.5927237294399208,False
stand age,stand_age_gami,turnover,pml_gpp,0.0010910731344859538,0.92865222371891,588,0.92865222371891,False
stand age,stand_age_gami,nestedness,Rugosity_mean,0.002549006634681328,0.37448496264987996,572,0.5927237294399208,False
stand age,stand_age_gami,nestedness,Vert_CV_mean,0.005884348022226296,0.03958054188705656,572,0.26128082230731553,False
stand age,stand_age_gami,nestedness,VCI_mean,0.005224074626510635,0.2766207581477317,572,0.5532415162954634,False
stand age,stand_age_gami,nestedness,LAI_mean,0.013314420586851002,0.06532020557682888,572,0.26128082230731553,False
stand age,stand_age_gami,nestedness,EVI_mean,0.008310185625637952,0.05035598336004448,551,0.26128082230731553,False
stand age,stand_age_gami,nestedness,modis_gpp,0.003618144962834266,0.4868802063256492,588,0.5927237294399208,False
stand age,stand_age_gami,nestedness,pml_gpp,0.000846032769501957,0.844868176548873,588,0.8761595904951276,False
disturbance,severity,Hill q1,Rugosity_mean,-0.012773039637049177,0.586444275300352,666,0.746383623109539,False
disturbance,severity,Hill q1,Vert_CV_mean,0.009202552700037246,0.8061325758082338,666,0.8851651812796293,False
disturbance,severity,Hill q1,VCI_mean,-0.05514283955144507,0.008125702914935867,666,0.07527753415079254,False
disturbance,severity,Hill q1,LAI_mean,-0.11180510218154655,0.00014656213947756162,666,0.004103739905371726,True
disturbance,severity,Hill q1,EVI_mean,-0.06101576282744721,0.16406113847634618,645,0.30624745848917956,False
disturbance,severity,Hill q1,modis_gpp,-0.06513509380957407,0.09940052630270532,683,0.2319345613729791,False
disturbance,severity,Hill q1,pml_gpp,-0.08078706535409036,0.0374385052054475,683,0.1695742977171223,False
disturbance,severity,Hill q2,Rugosity_mean,-0.006764266575292149,0.7462375444261757,666,0.8357860497573167,False
disturbance,severity,Hill q2,Vert_CV_mean,0.0052000840042256136,0.8690042003736083,666,0.9013093524732115,False
disturbance,severity,Hill q2,VCI_mean,-0.04600715793819075,0.012690506856446886,666,0.08577822105583705,False
disturbance,severity,Hill q2,LAI_mean,-0.10638107606467573,0.00010201013735255783,666,0.004103739905371726,True
disturbance,severity,Hill q2,EVI_mean,-0.059303594287970454,0.12569678872295462,645,0.2699145211561405,False
disturbance,severity,Hill q2,modis_gpp,-0.060675944848749164,0.07959532245419702,683,0.2319345613729791,False
disturbance,severity,Hill q2,pml_gpp,-0.06889159694371474,0.05068216601712432,683,0.1899715660110512,False
disturbance,severity,turnover,Rugosity_mean,0.004955113700465072,0.648053721614938,600,0.7826385221112365,False
disturbance,severity,turnover,Vert_CV_mean,-0.012439600011772738,0.09451335335063493,600,0.2319345613729791,False
disturbance,severity,turnover,VCI_mean,-0.02593745797269211,0.009033163714499907,600,0.07527753415079254,False
disturbance,severity,turnover,LAI_mean,-0.01134331274343798,0.32641118465087104,600,0.4686929830884302,False
disturbance,severity,turnover,EVI_mean,-0.011676000306128895,0.3176492700375635,579,0.46811471373956726,False
disturbance,severity,turnover,modis_gpp,0.005357188422044898,0.656857331057645,616,0.7826385221112365,False
disturbance,severity,turnover,pml_gpp,0.0019450620283165063,0.9013093524732115,616,0.9013093524732115,False
disturbance,severity,nestedness,Rugosity_mean,-0.0011379871401275099,0.7214212128337388,600,0.8357860497573167,False
disturbance,severity,nestedness,Vert_CV_mean,-0.0027465967919219347,0.38482926411430063,600,0.5231539217311229,False
disturbance,severity,nestedness,VCI_mean,0.006330958029326387,0.02296396460575317,600,0.12859820179221776,False
disturbance,severity,nestedness,LAI_mean,0.004567087791881366,0.2870573183559869,600,0.44653360633153516,False
disturbance,severity,nestedness,EVI_mean,0.0003825864121195055,0.8933825858223825,579,0.9013093524732115,False
disturbance,severity,nestedness,modis_gpp,-0.004149518168119605,0.14922379547643486,616,0.28815629471311555,False
disturbance,severity,nestedness,pml_gpp,-0.006370651982322155,0.2562162069199849,616,0.40994593107197586,False
disturbance,recency,Hill q1,Rugosity_mean,-0.01016179045588591,0.8434072973780877,148,0.9013093524732115,False
