family,context,response,rs,beta_int,p,n,q,sig
stand age,stand_age_gami,Hill q1,Rugosity_mean,0.0157803375081222,0.46813225141290726,622,0.6368400617815553,False
stand age,stand_age_gami,Hill q1,Vert_CV_mean,0.03536734484062529,0.15081404661078174,622,0.36195371186587616,False
stand age,stand_age_gami,Hill q1,VCI_mean,-0.03881009273422718,0.39535286524877555,622,0.6325645843980409,False
stand age,stand_age_gami,Hill q1,LAI_mean,-0.08403090220028867,0.06038373272179009,622,0.23905556574107809,False
stand age,stand_age_gami,Hill q1,EVI_mean,-0.027966200527944438,0.47763004633616646,601,0.6368400617815553,False
stand age,stand_age_gami,Hill q1,pml_gpp,0.04793658523678297,0.1069166619257419,639,0.2851110984686451,False
stand age,stand_age_gami,Hill q2,Rugosity_mean,0.010866293304649745,0.5829770427520691,622,0.6494819341051234,False
stand age,stand_age_gami,Hill q2,Vert_CV_mean,0.028384469699882994,0.22507285903941687,622,0.45014571807883375,False
stand age,stand_age_gami,Hill q2,VCI_mean,-0.03111699865355054,0.43099258950776387,622,0.6368400617815553,False
stand age,stand_age_gami,Hill q2,LAI_mean,-0.06762472726153451,0.08484074432545483,622,0.2545222329763645,False
stand age,stand_age_gami,Hill q2,EVI_mean,-0.01909186237505973,0.5953584395963631,601,0.6494819341051234,False
stand age,stand_age_gami,Hill q2,pml_gpp,0.044657351648888094,0.06972454000781445,639,0.23905556574107809,False
stand age,stand_age_gami,turnover,Rugosity_mean,0.005477237013449198,0.5366803905102695,572,0.6494819341051234,False
stand age,stand_age_gami,turnover,Vert_CV_mean,-0.010089821925022256,0.5504915197459564,572,0.6494819341051234,False
stand age,stand_age_gami,turnover,VCI_mean,-0.013096524373761352,0.2780313420005458,572,0.5132886313856231,False
stand age,stand_age_gami,turnover,LAI_mean,-0.04100276999756058,0.03772781387585407,572,0.23905556574107809,False
stand age,stand_age_gami,turnover,EVI_mean,-0.039143758060908765,0.026497417509296253,551,0.23905556574107809,False
stand age,stand_age_gami,turnover,pml_gpp,0.0018923716131264891,0.8835825768340414,588,0.8835825768340414,False
stand age,stand_age_gami,nestedness,Rugosity_mean,0.0026806889596672646,0.3293868349857849,572,0.5646631456899169,False
stand age,stand_age_gami,nestedness,Vert_CV_mean,0.006082028979927177,0.030513006248058132,572,0.23905556574107809,False
stand age,stand_age_gami,nestedness,VCI_mean,0.0059966453433802375,0.18053204271742596,572,0.39388809320165663,False
stand age,stand_age_gami,nestedness,LAI_mean,0.013464761478753477,0.06466684264879322,572,0.23905556574107809,False
stand age,stand_age_gami,nestedness,EVI_mean,0.008037938672057389,0.05689692091143203,551,0.23905556574107809,False
stand age,stand_age_gami,nestedness,pml_gpp,0.0011496381485112065,0.8235771689862903,588,0.8593848719856942,False
disturbance,severity,Hill q1,Rugosity_mean,-0.012773039637049177,0.586444275300352,666,0.7819257004004694,False
disturbance,severity,Hill q1,Vert_CV_mean,0.009202552700037246,0.8061325758082338,666,0.8794173554271643,False
disturbance,severity,Hill q1,VCI_mean,-0.05514283955144507,0.008125702914935867,666,0.09033304098095105,False
disturbance,severity,Hill q1,LAI_mean,-0.11180510218154655,0.00014656213947756162,666,0.003517491347461479,True
disturbance,severity,Hill q1,EVI_mean,-0.06101576282744721,0.16406113847634618,645,0.34688121644570097,False
disturbance,severity,Hill q1,pml_gpp,-0.021635438634817164,0.6717352620625634,683,0.8060823144750761,False
disturbance,severity,Hill q2,Rugosity_mean,-0.006764266575292149,0.7462375444261757,666,0.8330093519175915,False
disturbance,severity,Hill q2,Vert_CV_mean,0.0052000840042256136,0.8690042003736083,666,0.8874936514453872,False
disturbance,severity,Hill q2,VCI_mean,-0.04600715793819075,0.012690506856446886,666,0.09453110075541227,False
disturbance,severity,Hill q2,LAI_mean,-0.10638107606467573,0.00010201013735255783,666,0.003517491347461479,True
disturbance,severity,Hill q2,EVI_mean,-0.059303594287970454,0.12569678872295462,645,0.3238974253873686,False
disturbance,severity,Hill q2,pml_gpp,-0.0165490361116422,0.7190393732524581,683,0.8330093519175915,False
disturbance,severity,turnover,Rugosity_mean,0.004935417082454915,0.6474052691214787,600,0.7968064850725891,False
disturbance,severity,turnover,Vert_CV_mean,-0.014131062649203632,0.04911698417440806,600,0.19646793669763224,False
disturbance,severity,turnover,VCI_mean,-0.026533920261559617,0.007596116955423852,600,0.09033304098095105,False
disturbance,severity,turnover,LAI_mean,-0.01023120275995668,0.37940716150314346,600,0.6070514584050295,False
disturbance,severity,turnover,EVI_mean,-0.012680351134998494,0.2704853730917337,579,0.4636892110144006,False
disturbance,severity,turnover,pml_gpp,0.01437783380440109,0.5405729300764901,616,0.7631617836373977,False
disturbance,severity,nestedness,Rugosity_mean,-0.001436689713707504,0.6303471237631904,600,0.7968064850725891,False
disturbance,severity,nestedness,Vert_CV_mean,-0.002469666520866113,0.42774314239104805,600,0.6416147135865721,False
disturbance,severity,nestedness,VCI_mean,0.006102080983823039,0.03142083363343252,600,0.17867469433239047,False
disturbance,severity,nestedness,LAI_mean,0.0038772277042251665,0.30798276079989373,600,0.5097645695998241,False
disturbance,severity,nestedness,EVI_mean,0.0005354166509793246,0.8440712285586044,579,0.8807699776263698,False
disturbance,severity,nestedness,pml_gpp,-4.734446008234847e-06,0.999447798950865,616,0.999447798950865,False
disturbance,recency,Hill q1,Rugosity_mean,-0.01016179045588591,0.8434072973780877,148,0.8807699776263698,False
disturbance,recency,Hill q1,Vert_CV_mean,-0.03180499652624148,0.24331413064908003,148,0.4325584544872534,False
disturbance,recency,Hill q1,VCI_mean,-0.1412776556735628,0.013785785526830956,148,0.09453110075541227,False
disturbance,recency,Hill q1,LAI_mean,-0.18222725382498373,0.10990022687412787,148,0.31030652293871397,False
disturbance,recency,Hill q1,EVI_mean,-0.13704043420662754,0.17394375257508843,148,0.34688121644570097,False
disturbance,recency,Hill q1,pml_gpp,-0.04705419132902564,0.4736591702020826,149,0.688958793021211,False
disturbance,recency,Hill q2,Rugosity_mean,-0.015101276336255109,0.7320393839728052,148,0.8330093519175915,False
disturbance,recency,Hill q2,Vert_CV_mean,-0.032311746614922025,0.18789399224142134,148,0.34688121644570097,False
disturbance,recency,Hill q2,VCI_mean,-0.13439914788257662,0.009409691768849067,148,0.09033304098095105,False
disturbance,recency,Hill q2,LAI_mean,-0.17867870218776383,0.09741415000482025,148,0.29224245001446075,False
disturbance,recency,Hill q2,EVI_mean,-0.14913918897995718,0.13495726057807025,148,0.3238974253873686,False
disturbance,recency,Hill q2,pml_gpp,-0.05447684700417542,0.4006489280021134,149,0.6203596304548852,False
disturbance,recency,turnover,Rugosity_mean,0.015346640762117654,0.6466588013418235,122,0.7968064850725891,False
disturbance,recency,turnover,Vert_CV_mean,-0.04977412273271635,0.0563816970922418,122,0.20817857387904665,False
disturbance,recency,turnover,VCI_mean,-0.027997452374231405,0.04850165008458709,122,0.19646793669763224,False
disturbance,recency,turnover,LAI_mean,-0.05827600632529833,0.03350150518732321,122,0.17867469433239047,False
disturbance,recency,turnover,EVI_mean,-0.05611977961230394,0.1878143972060765,122,0.34688121644570097,False
disturbance,recency,turnover,pml_gpp,0.04977768873276257,0.18460562050622553,122,0.34688121644570097,False
disturbance,recency,nestedness,Rugosity_mean,-0.01190159615952643,0.14934628968773467,122,0.34136294785767923,False
disturbance,recency,nestedness,Vert_CV_mean,0.009471634676538885,0.12825144551873374,122,0.3238974253873686,False
disturbance,recency,nestedness,VCI_mean,0.011880732609500774,0.07548912905202042,122,0.2588198710354986,False
disturbance,recency,nestedness,LAI_mean,0.02361637680527462,0.038461649946969184,122,0.18461591974545208,False
disturbance,recency,nestedness,EVI_mean,0.024002329928948758,0.08367717213779106,122,0.2677669508409314,False
disturbance,recency,nestedness,pml_gpp,-0.008933839770113958,0.5727390773816485,122,0.7819257004004694,False
land use,lc_edge,Hill q1,Rugosity_mean,-0.011449890853604386,0.7491933841102854,666,0.9382689575580467,False
land use,lc_edge,Hill q1,Vert_CV_mean,-0.05019988848101885,0.040474975371166476,666,0.2128876665219608,False
land use,lc_edge,Hill q1,VCI_mean,-0.030307696190053846,0.4272534193576293,666,0.7690561548437327,False
land use,lc_edge,Hill q1,LAI_mean,-0.004765039860584481,0.9173671040675215,666,0.9891244343373459,False
land use,lc_edge,Hill q1,EVI_mean,-0.034686770010850736,0.3453215912724291,645,0.6945739960426707,False
land use,lc_edge,Hill q1,pml_gpp,-0.025554458533871255,0.5501316897086868,683,0.8378969565303822,False
land use,lc_edge,Hill q2,Rugosity_mean,-0.017394986359636176,0.5702354287498435,666,0.8378969565303822,False
land use,lc_edge,Hill q2,Vert_CV_mean,-0.04366237524511224,0.04470288045197251,666,0.2128876665219608,False
land use,lc_edge,Hill q2,VCI_mean,-0.03629030214310948,0.28506390881236077,666,0.6413937948278118,False
land use,lc_edge,Hill q2,LAI_mean,-0.012966562184615098,0.7688592846656216,666,0.9382689575580467,False
land use,lc_edge,Hill q2,EVI_mean,-0.040230688525014664,0.23414674437325855,645,0.5813298480991247,False
land use,lc_edge,Hill q2,pml_gpp,-0.024630722762678095,0.5146960181581437,683,0.805611158856225,False
land use,lc_edge,turnover,Rugosity_mean,-0.003780093705531895,0.765016735094586,600,0.9382689575580467,False
land use,lc_edge,turnover,Vert_CV_mean,0.0012408919867376933,0.9516807265266641,600,0.9891244343373459,False
land use,lc_edge,turnover,VCI_mean,0.0007636531973829637,0.9616784912799939,600,0.9891244343373459,False
land use,lc_edge,turnover,LAI_mean,0.043689889746133095,0.004284927205609708,600,0.06170295176077979,False
land use,lc_edge,turnover,EVI_mean,0.06042841002702381,2.6390685022534817e-05,579,0.0009500646608112535,True
land use,lc_edge,turnover,pml_gpp,0.01604366808333607,0.26449635081383205,616,0.6347912419531969,False
land use,lc_edge,nestedness,Rugosity_mean,-0.0031380695585773444,0.48858323139262216,600,0.7817331702281954,False
land use,lc_edge,nestedness,Vert_CV_mean,0.0063057078922859906,0.06699127709038193,600,0.25014007309910224,False
