siteID,regime,dLAI
BLAN,press,-0.2821073904711132
DEJU,press,-0.0019943840481867828
DELA,press,-0.969585619866848
GRSM,pulse,-0.6600603848695754
HARV,press,-0.5509282032027841
JERC,press,-0.06598721933551133
MLBS,press,-0.6405982356518507
MLBS,pulse,-0.27330828011035924
OSBS,press,0.33815549353935886
OSBS,pulse,-0.14990471386520918
SCBI,press,
SERC,press,
SERC,pulse,-2.1722368903990303
SOAP,press,-0.2883325353031978
SOAP,pulse,-0.388287075697449
TALL,pulse,0.30824697530609835
TEAK,pulse,-0.19672986689940208
TREE,pulse,-0.23254447802901268
