dropped,vif,block,n_remaining
Q95_mean,988.69,structure,31
SAVI_mean,573.72,spectral,30
Gini_mean,373.58,structure,29
Gini_trend,121.34,dynamics,28
Max_Ht_mean,80.76,structure,27
Vert_SD_mean,64.42,structure,26
Q95_trend,58.92,dynamics,25
NDVI_mean,52.46,spectral,24
Rumple_mean,49.77,structure,23
Canopy_Ht_mean,32.58,structure,22
Ht_Ratio_mean,18.6,structure,21
Max_Ht_trend,13.06,dynamics,20
FHD_mean,12.53,structure,19
Deep_Gap_mean,11.07,structure,18
Rugosity_trend,7.62,dynamics,17
modis_gpp,6.02,productivity,16
Deep_Gap_trend,5.99,dynamics,15
