response,rs,beta_int,p_int
Hill q1,SAVI_mean,-0.1882613936833821,0.003154172369735737
Hill q1,EVI_mean,-0.17368616838919612,0.007045277881961051
Hill q1,NDVI_mean,-0.10357872369174559,0.0346066194379916
Hill q1,LAI_mean,-0.19162271020677507,0.004604156669102928
Hill q1,VCI_mean,-0.16210422828409152,0.0034249488024830636
Hill q2,SAVI_mean,-0.17539984296349598,0.007991696805794538
Hill q2,EVI_mean,-0.18649505732276278,0.005473006586014619
Hill q2,NDVI_mean,-0.05581894891735957,0.30034384869948094
Hill q2,LAI_mean,-0.1782872350243651,0.010688394984696849
Hill q2,VCI_mean,-0.15825609148307843,0.005709948083883136
turnover,EVI_mean,-0.15654400546952132,0.007527019811526126
