test,response,term,beta,p
BACI,ΔHill q1,impact,-0.17837508229222332,0.6284656054514837
BACI,ΔRichness,impact,-1.073021536115338,0.0511161883085865
severity,ΔHill q1,severity,0.06579071158290226,0.765638736923011
severity,ΔHill q2,severity,0.11169766657200182,0.5588726909130031
coupling,ΔHill q1,ΔNBR,0.06523168171881569,0.2624429232213645
coupling,ΔHill q1,ΔFHD,0.03173385023865401,0.6084310818989956
coupling,ΔHill q1,ΔDeepGap,0.005493038886995295,0.9290833772183175
coupling,ΔHill q1,ΔLAI,-0.11709458361913842,0.056948658683728066
coupling,ΔHill q2,ΔNBR,0.0666802893575685,0.2519702916406121
coupling,ΔHill q2,ΔFHD,0.004095788966709014,0.9472930973113244
coupling,ΔHill q2,ΔDeepGap,-0.0020789101763257958,0.9731305242787404
coupling,ΔHill q2,ΔLAI,-0.1051031377071468,0.08771066122042466
