test,response,term,beta,p
div~het,Hill q1,lc_shannon,-0.18368045713931502,0.0038190502443920015
div~het,Hill q1,lc_nclass,0.05012011693652915,0.2834820028475761
div~het,Hill q1,lc_edge,-0.29838953292314224,0.0004142395565930782
div~het,Hill q1,lc_forest_frac,0.21921887258543757,0.0024062231563617606
div~het,Hill q1,Sa_500m,0.15992176803506933,0.46360513135787185
div~het,Hill q2,lc_shannon,-0.15978537311103072,0.015073095160999058
div~het,Hill q2,lc_nclass,0.051879963695434704,0.3004490521046935
div~het,Hill q2,lc_edge,-0.2939361142369852,0.0007687707054054807
div~het,Hill q2,lc_forest_frac,0.18851194780138336,0.011740811566498406
div~het,Hill q2,Sa_500m,0.10262720976409745,
div~het,Hill q2,Sa_1000m,0.018072266694808093,0.9387416991794408
div~het,Turnover,lc_shannon,-0.07547473979353392,0.14681652927288602
div~het,Turnover,lc_nclass,-0.04314035841509904,0.30055341066749297
div~het,Turnover,lc_edge,-0.30449493759924484,7.157594669967832e-06
div~het,Turnover,lc_forest_frac,0.2038030983808827,0.0005192593644956692
div~het,Turnover,Sa_500m,-0.4521880690605391,0.9999999166623063
div~het,Turnover,Sa_1000m,-0.31761830328881313,0.9999999426944485
div~het,Nestedness,lc_shannon,0.023279437507766437,0.7014800782473394
div~het,Nestedness,lc_nclass,-0.023562783282959146,0.6970763286855487
div~het,Nestedness,lc_edge,0.08677479846167718,0.3876297206306222
div~het,Nestedness,lc_forest_frac,-0.09122195547179546,0.29660827226609665
div~het,Nestedness,Sa_500m,0.12817230861424883,0.9999999839558413
div~het,Nestedness,Sa_1000m,0.40999899880706603,0.9999999489618134
moderation,Hill q1,SAVI_mean×lc_shannon,-0.05437648387304581,0.265043802965628
moderation,Hill q1,SAVI_mean×lc_edge,-0.09634456307584838,0.14612485048919466
moderation,Hill q1,FHD_mean×lc_shannon,0.04336997109303464,0.37166317162281914
moderation,Hill q1,FHD_mean×lc_edge,0.027973335212855117,0.6162800522506762
moderation,Hill q1,specdiv_rao_q×lc_shannon,-0.06230782536225036,0.14960722357229528
moderation,Hill q1,specdiv_rao_q×lc_edge,-0.06610101662132839,0.15770482376706252
moderation,Hill q2,SAVI_mean×lc_shannon,-0.04515116307964452,0.415273758685871
moderation,Hill q2,SAVI_mean×lc_edge,-0.13393041598046254,0.029573716525357337
moderation,Hill q2,FHD_mean×lc_shannon,0.03748688291061258,0.39883261369996625
moderation,Hill q2,FHD_mean×lc_edge,0.0015715273754915787,0.9785825463755446
moderation,Hill q2,specdiv_rao_q×lc_shannon,-0.04943986474232674,0.2773465289101159
moderation,Hill q2,specdiv_rao_q×lc_edge,-0.05753166889227877,0.23487698278953317
moderation,Turnover,SAVI_mean×lc_shannon,0.21394095439413915,3.7234897913751136e-06
moderation,Turnover,SAVI_mean×lc_edge,0.22250076119003578,7.309378063741521e-05
moderation,Turnover,FHD_mean×lc_shannon,-0.03989652195503893,0.3229496933640159
moderation,Turnover,FHD_mean×lc_edge,-0.048408812483847284,0.309325033429816
moderation,Turnover,specdiv_rao_q×lc_shannon,-0.0034146445428367925,0.9313587998653455
moderation,Turnover,specdiv_rao_q×lc_edge,0.015983339961859418,0.7035793801171577
moderation,Nestedness,SAVI_mean×lc_shannon,-0.15935487512419394,0.024129440241270526
moderation,Nestedness,SAVI_mean×lc_edge,-0.1677711260139298,0.055653817049860846
moderation,Nestedness,FHD_mean×lc_shannon,0.06271870059179219,0.21128599144361593
moderation,Nestedness,FHD_mean×lc_edge,0.12542100591349756,0.08005067154491592
moderation,Nestedness,specdiv_rao_q×lc_shannon,-0.0452593330083695,0.4312705174410738
moderation,Nestedness,specdiv_rao_q×lc_edge,-0.05017846575751793,0.41936841998985164
