test,response,term,beta,p,n
A_severity,Hill q1,severity,-0.005578121105075973,0.8988621807617742,525
C_sev_x_RS,Hill q1,SAVI_mean,-0.03823597600197505,0.36342552316557486,525
D_rec_x_RS,Hill q1,SAVI_mean,-0.48013828787496027,0.010277943833947941,128
C_sev_x_RS,Hill q1,EVI_mean,-0.027877424791771542,0.5030000468191322,525
D_rec_x_RS,Hill q1,EVI_mean,-0.5164498007362,0.0045074256508258834,128
C_sev_x_RS,Hill q1,FHD_mean,-0.04860799114442613,0.19232324756568708,525
C_sev_x_RS,Hill q1,LAI_mean,-0.059159390917814,0.3228937288822087,525
C_sev_x_RS,Hill q1,Deep_Gap_mean,0.1051796573578796,0.0008688070592510434,525
C_sev_x_RS,Hill q1,dhi_cum_mean,-0.021864218490726384,0.5307073087560112,525
A_severity,Hill q2,severity,-0.013046381915324048,0.773480413479697,525
C_sev_x_RS,Hill q2,SAVI_mean,-0.05044904833610637,0.24470660579582593,525
D_rec_x_RS,Hill q2,SAVI_mean,-0.5233329627227591,0.00653025259549121,128
C_sev_x_RS,Hill q2,EVI_mean,-0.04154122900203091,0.3329545358698679,525
D_rec_x_RS,Hill q2,EVI_mean,-0.5647963016864359,0.0024721656758495483,128
C_sev_x_RS,Hill q2,FHD_mean,-0.04501062303434597,0.24535814544076495,525
C_sev_x_RS,Hill q2,LAI_mean,-0.06913345242904374,0.2662632369683139,525
C_sev_x_RS,Hill q2,Deep_Gap_mean,0.08870927315762193,0.006150467063125644,525
C_sev_x_RS,Hill q2,dhi_cum_mean,-0.02808986730676494,0.43781002827664894,525
A_severity,Turnover,severity,0.015544694192914427,0.6934104353519643,525
C_sev_x_RS,Turnover,SAVI_mean,-0.06912993965406891,0.07634837038235312,525
C_sev_x_RS,Turnover,EVI_mean,-0.06973824877354086,0.07134080657790212,525
C_sev_x_RS,Turnover,FHD_mean,-0.10421976129772845,0.026141330767461297,525
C_sev_x_RS,Turnover,LAI_mean,-0.1160416668893194,0.043674337460423096,525
C_sev_x_RS,Turnover,Deep_Gap_mean,0.12081150548500344,0.0005333973586713894,525
C_sev_x_RS,Turnover,dhi_cum_mean,-0.04367369428257952,0.20103748984084346,525
A_severity,Nestedness,severity,-0.09833192091864582,0.08477151058936205,525
C_sev_x_RS,Nestedness,SAVI_mean,-0.02070448030653525,0.7225308060671118,525
C_sev_x_RS,Nestedness,EVI_mean,-0.01926064707825455,0.7390608305939308,525
C_sev_x_RS,Nestedness,FHD_mean,0.16738081607243227,0.014668385249803377,525
C_sev_x_RS,Nestedness,LAI_mean,0.09489781120234023,0.2624388986051097,525
D_rec_x_RS,Nestedness,LAI_mean,0.47870213127907546,0.0004205091085493289,128
C_sev_x_RS,Nestedness,Deep_Gap_mean,-0.043831712617696084,0.40048599211513114,525
C_sev_x_RS,Nestedness,dhi_cum_mean,-0.13179336855276627,0.001591611996897505,525
