src,response,rs,beta_int,p_int,n
30m,Hill q1,SAVI_mean,0.04036786836777167,0.39281075807173926,417
30m,Hill q1,EVI_mean,0.03186138663494278,0.49968144394902014,417
30m,Hill q1,NDVI_mean,0.08699428864796131,0.043323974564998965,417
30m,Hill q1,Deep_Gap_mean,-0.15881361444661707,7.785626973463458e-05,438
30m,Hill q1,VCI_mean,0.09091035285287816,0.028091572335872218,438
30m,Hill q1,Gini_mean,0.03736640023647191,0.41663094015804303,438
30m,Hill q1,LAI_mean,0.0717662407745359,0.1123671575884094,438
30m,Hill q1,FHD_mean,0.09177565507777408,0.040204705677693214,438
30m,Hill q2,SAVI_mean,0.03516237784289963,0.4728298268193101,417
30m,Hill q2,EVI_mean,0.027636455023850964,0.5722808181830019,417
30m,Hill q2,NDVI_mean,0.09585415794271884,0.029154403944794308,417
30m,Hill q2,Deep_Gap_mean,-0.1550907986443063,0.0002054641220671421,438
30m,Hill q2,VCI_mean,0.09593957406334062,0.02529386011591498,438
30m,Hill q2,Gini_mean,0.049124917604132276,0.3014294564688521,438
30m,Hill q2,LAI_mean,0.06990455993036841,0.13474829495973903,438
30m,Hill q2,FHD_mean,0.09700449243233857,0.03578966774643718,438
30m,Turnover,FHD_mean,0.020430189618789753,0.6014569117846478,408
