test,response,term,beta,p
BACI,ΔHill q1,impact,-0.09820739574644839,0.8061479126821472
BACI,ΔRichness,impact,-1.0445772983979562,0.0689827822884175
severity,ΔHill q1,severity,0.06463676060028259,0.7619216835834541
severity,ΔHill q2,severity,0.19925581865345385,0.3192295463941347
coupling,ΔHill q1,ΔNBR,0.039479003224008984,0.5098342845843098
coupling,ΔHill q1,ΔFHD,-0.018737391189058768,0.7557744729465504
coupling,ΔHill q1,ΔDeepGap,0.013660122942746739,0.8199839210226556
coupling,ΔHill q1,ΔLAI,-0.11967549526438942,0.04541481798953519
coupling,ΔHill q2,ΔNBR,0.04616715729740054,0.4407875378199327
coupling,ΔHill q2,ΔFHD,-0.03678866884675138,0.5413103183516914
coupling,ΔHill q2,ΔDeepGap,0.004627480288568388,0.9385546729289054
coupling,ΔHill q2,ΔLAI,-0.09618838744123878,0.10825953545923993
