src,response,rs,beta_int,p_int,n
gami,Hill q1,SAVI_mean,-0.17874880174745547,0.00474454522064937,398
gami,Hill q1,EVI_mean,-0.16874657800776527,0.00805233632787041,398
gami,Hill q1,NDVI_mean,-0.0956438876669731,0.04865785227208347,398
gami,Hill q1,Deep_Gap_mean,0.049654375285396804,0.25807411807528746,419
gami,Hill q1,VCI_mean,-0.16761727190577233,0.0028028851546582395,419
gami,Hill q1,Gini_mean,-0.035687934461558005,0.5381233846445388,419
gami,Hill q1,LAI_mean,-0.2143389386946066,0.001711613532686502,419
gami,Hill q1,FHD_mean,-0.09588848030667935,0.052995637436447765,419
gami,Hill q2,SAVI_mean,-0.167421993206207,0.010748366845893515,398
gami,Hill q2,EVI_mean,-0.1780172854108482,0.007476624647492849,398
gami,Hill q2,NDVI_mean,-0.0871525074627088,0.08311882437703777,398
gami,Hill q2,Deep_Gap_mean,0.03948106570982555,0.38291454215428566,419
gami,Hill q2,VCI_mean,-0.138857614863022,0.012393878090832616,419
gami,Hill q2,Gini_mean,-0.03709089873071733,0.5345440220743074,419
gami,Hill q2,LAI_mean,-0.203546785595844,0.0039346054196136475,419
gami,Hill q2,FHD_mean,-0.10040518381592382,0.04900853457904818,419
gami,Turnover,EVI_mean,-0.14613194476964209,0.011471058124955445,370
gami,Turnover,LAI_mean,-0.10742692729564435,0.07684824991874456,391
gami,Nestedness,Gini_mean,0.06475301480850625,0.29612528733819854,391
