siteID,conifer_frac,n_stems,forest_type
ABBY,0.9490644490644491,962,Needleleaf
BART,0.3423941453214846,1913,Mixed
BLAN,0.0353356890459364,283,Broadleaf
BONA,0.3654708520179372,1338,Mixed
DEJU,0.9432404540763674,969,Needleleaf
DELA,0.01749049429657795,1315,Broadleaf
GRSM,0.20762423417290674,1469,Broadleaf
HARV,0.3844570252187339,1943,Mixed
HEAL,1.0,61,Needleleaf
JERC,0.46788990825688076,327,Mixed
LENO,0.02023809523809524,840,Broadleaf
MLBS,0.037096774193548385,1240,Broadleaf
ORNL,0.1365399534522886,1289,Broadleaf
OSBS,0.6706302021403091,841,Mixed
RMNP,0.8878127522195319,1239,Needleleaf
SCBI,0.001272264631043257,786,Broadleaf
SERC,0.004329004329004329,1155,Broadleaf
SOAP,0.5773809523809523,840,Mixed
STEI,0.11026878015161957,1451,Broadleaf
TALL,0.5931914893617021,1175,Mixed
TEAK,0.9946808510638298,1128,Needleleaf
TREE,0.4833468724614135,1231,Mixed
UKFS,0.07927332782824112,1211,Broadleaf
UNDE,0.2913992297817715,1558,Mixed
WREF,0.9863891112890312,1249,Needleleaf
YELL,0.9617346938775511,392,Needleleaf
